theme,title,source_id,source_tier,direction,impact,confidence,evidence_relevance,weight,timestamp_utc,source_url,event_type,event_quality
MACRO_POLICY,"Bowman, Modernizing Financial Regulation",federal_reserve_speeches,TIER_1_OFFICIAL_MACRO,BEARISH,HIGH,HIGH,0.35,-2.6468,2026-07-13T09:25:00+00:00,https://www.federalreserve.gov/newsevents/speech/bowman20260713a.htm,macro,SIGNIFICANT_EVENT
MACRO_POLICY,"Federal Reserve Board issues enforcement action with TS Banking Group, Inc. and TS Contrarian Bancshares, Inc.",federal_reserve_press,TIER_1_OFFICIAL_MACRO,BEARISH,HIGH,HIGH,0.35,-1.5452,2026-07-09T15:00:00+00:00,https://www.federalreserve.gov/newsevents/pressreleases/enforcement20260709a.htm,macro,ACTIONABLE_EVENT_CONTEXT
