scope,component,component_label,legacy_samples,recent_samples,legacy_mean,recent_mean,mean_delta,legacy_std,recent_std,psi,severity
ALL,trend_score,Trend,4843,7251,27.132975428453438,26.975175837815474,-0.15779959063796412,3.0510273814912123,3.293435161580838,0.0027339920340183404,LOW
ALL,momentum_score,Momentum,4843,7251,23.29072888705348,23.131705971590126,-0.15902291546335334,4.09777903834311,4.1639153094575265,0.0034436404735939305,LOW
ALL,volume_score,Volume,4843,7251,4.991327689448688,5.031857674803476,0.04052998535478736,4.816252763294461,4.748213389544756,0.0013894803998586675,LOW
ALL,structure_score,Structure,4843,7251,6.6491843898410075,6.431664597986485,-0.21751979185452264,2.496868337044132,2.5623890783868695,0.00804501958566358,LOW
ALL,regime_score,Regime,4843,7251,4.3047697708032215,4.262032823058888,-0.04273694774433334,2.3736352053385974,2.444816064179272,0.004944321021665848,LOW
ALL,risk_penalty,Risk Penalty,4843,7251,-6.106958496799504,-4.732726520479933,1.374231976319571,5.035750683569388,4.300016581428969,0.1126649311301486,MODERATE
ALL,adaptive_adjustment,Adaptive Adjustment,4843,7251,0.5866198637208342,0.4649013929113226,-0.12171847080951159,2.8783732589133257,2.781368588781039,0.013039306923294264,LOW
LONG,trend_score,Trend,2833,3889,27.24991175432404,27.089483157624066,-0.16042859669997256,2.819368645915926,3.082513987259841,0.003531199219290659,LOW
LONG,momentum_score,Momentum,2833,3889,23.019414048711614,23.013113911031112,-0.006300137680501194,4.121518617860911,4.212238080929649,0.011100992610353784,LOW
LONG,volume_score,Volume,2833,3889,4.68513942816802,4.841347390074569,0.1562079619065493,4.727712845596173,4.740016679593803,0.005944863377628773,LOW
LONG,structure_score,Structure,2833,3889,6.744793505118249,6.500385703265621,-0.24440780185262767,2.512410825359412,2.545358610392933,0.0079710931205495,LOW
LONG,regime_score,Regime,2833,3889,4.434521708436287,4.349190023142196,-0.08533168529409085,2.1621608546110695,2.2839000687272524,0.009147823647326704,LOW
LONG,risk_penalty,Risk Penalty,2833,3889,-6.031415460642428,-4.583697608639753,1.4477178520026754,4.853018028305462,4.097142806801242,0.12511553294558853,MODERATE
LONG,adaptive_adjustment,Adaptive Adjustment,2833,3889,0.5810095305330039,0.48855746978657755,-0.09245206074642631,2.8306512974307787,2.723654315037699,0.01971167274850348,LOW
SHORT,trend_score,Trend,2010,3362,26.9681592039801,26.842950624628198,-0.12520857935190222,3.3435139697923173,3.5170646260934264,0.010568269504192805,LOW
SHORT,momentum_score,Momentum,2010,3362,23.67313432835821,23.268887566924448,-0.40424676143376104,4.033210963177872,4.103035165913724,0.01136599078914116,LOW
SHORT,volume_score,Volume,2010,3362,5.422885572139304,5.252230814991076,-0.17065475714822753,4.906009476846357,4.748151845248283,0.006858512389018011,LOW
SHORT,structure_score,Structure,2010,3362,6.514427860696517,6.352171326591315,-0.16225653410520202,2.4685163421300422,2.5796663562585187,0.015226613342881282,LOW
SHORT,regime_score,Regime,2010,3362,4.121890547263682,4.161213563355146,0.039323016091463714,2.632284898907245,2.6150289932489987,0.0004583942426034674,LOW
SHORT,risk_penalty,Risk Penalty,2010,3362,-6.213432835820895,-4.905116002379536,1.308316833441359,5.280746843071854,4.5172263316484615,0.1092607362516976,MODERATE
SHORT,adaptive_adjustment,Adaptive Adjustment,2010,3362,0.5945273631840796,0.4375371802498513,-0.15699018293422834,2.944303869189945,2.8464252087003286,0.013906710766745356,LOW
SYMBOL:BTC/USDT,trend_score,Trend,2591,2566,27.089154766499423,26.963367108339828,-0.12578765815959514,3.090579381652429,3.2751548551314595,0.008902709403561434,LOW
SYMBOL:BTC/USDT,momentum_score,Momentum,2591,2566,23.094172134311076,22.86087295401403,-0.23329918029704544,4.14634927049756,4.225951245587094,0.00608235802315793,LOW
SYMBOL:BTC/USDT,volume_score,Volume,2591,2566,4.80084909301428,5.217069368667186,0.41622027565290587,4.789076328185685,4.8629739994283625,0.012823763151460514,LOW
SYMBOL:BTC/USDT,structure_score,Structure,2591,2566,6.609803164801235,6.286827747466875,-0.3229754173343604,2.4569242254886796,2.5683861613543377,0.020617739373448473,LOW
SYMBOL:BTC/USDT,regime_score,Regime,2591,2566,4.331532226939405,4.107950116913484,-0.2235821100259212,2.3125364229502745,2.700646397726908,0.020265328274887265,LOW
SYMBOL:BTC/USDT,risk_penalty,Risk Penalty,2591,2566,-5.586260131223466,-3.676149649259548,1.910110481963918,4.845448944825353,3.7488309613773683,0.20638752514767217,MODERATE
SYMBOL:BTC/USDT,adaptive_adjustment,Adaptive Adjustment,2591,2566,0.5059822462369742,0.24318004676539362,-0.26280219947158057,2.824990293148113,2.819889251376825,0.030020691410801423,LOW
SYMBOL:ETH/USDT,trend_score,Trend,2252,2454,27.183392539964476,26.86756316218419,-0.3158293777802861,3.0040868315318496,3.4896492671945887,0.010741490916069943,LOW
SYMBOL:ETH/USDT,momentum_score,Momentum,2252,2454,23.516873889875665,23.097799511002446,-0.4190743788732192,4.02933067399118,4.162085245769961,0.013383250020665005,LOW
SYMBOL:ETH/USDT,volume_score,Volume,2252,2454,5.210479573712256,4.926242868785656,-0.2842367049265997,4.838062926250256,4.699253870930974,0.008471821726877994,LOW
SYMBOL:ETH/USDT,structure_score,Structure,2252,2454,6.69449378330373,6.41442542787286,-0.2800683554308696,2.5412941035334873,2.569929023011006,0.01110551770224084,LOW
SYMBOL:ETH/USDT,regime_score,Regime,2252,2454,4.273978685612788,4.270578647106764,-0.0034000385060242166,2.441678072088172,2.4319873060636166,0.024766890708790745,LOW
SYMBOL:ETH/USDT,risk_penalty,Risk Penalty,2252,2454,-6.7060390763765545,-4.56356968215159,2.142469394224965,5.181835583331704,4.180990040877521,0.21605609329998476,MODERATE
SYMBOL:ETH/USDT,adaptive_adjustment,Adaptive Adjustment,2252,2454,0.6793960923623446,0.4490627546862266,-0.23033333767611797,2.935853879400769,2.726543501187815,0.03693085654955215,LOW
