symbol_scope,regime,side,status,eligible,legacy_samples,legacy_expectancy,legacy_profit_factor,legacy_share,transition_samples,transition_expectancy,transition_profit_factor,transition_share,recent_samples,recent_expectancy,recent_profit_factor,recent_share,recent_minus_legacy_expectancy,recent_minus_legacy_share,positive_eras,total_eras
BTC/USDT,UNKNOWN,SHORT,INELIGIBLE_UNKNOWN,False,1048,-0.8735575019083969,0.5556281346893239,0.40447703589347744,800,-0.68540371625,0.5715425487709901,0.5012531328320802,1194,-0.6912784396984925,0.4923375900274237,0.46531566640685895,0.18227906220990442,0.06083863051338151,0,3
SOL/USDT,UNKNOWN,SHORT,INELIGIBLE_UNKNOWN,False,0,0.0,0.0,0.0,585,-0.32346095213675213,0.8541870845413302,0.5566127497621313,1039,-0.6859338257940326,0.6536744095268433,0.46571044374719855,-0.6859338257940326,0.46571044374719855,0,2
ALL,UNKNOWN,SHORT,INELIGIBLE_UNKNOWN,False,2010,-0.9202884094527364,0.5891496894278172,0.41503200495560605,2011,-0.5624474331178518,0.6997783006613965,0.4958086785009862,3362,-0.6549495342058298,0.5961509806047451,0.46366018480209625,0.2653388752469066,0.048628179846490205,0,3
ETH/USDT,UNKNOWN,SHORT,INELIGIBLE_UNKNOWN,False,962,-0.9711969241164242,0.6174284686918978,0.4271758436944938,626,-0.6286488146964856,0.669300595628687,0.44428672817601134,1129,-0.5880147316209035,0.6246531759958058,0.4600651996740016,0.38318219249552077,0.03288935597950782,0,3
BTC/USDT,UNKNOWN,LONG,INELIGIBLE_UNKNOWN,False,1543,-0.11911028386260532,0.9182276146146173,0.5955229641065226,796,-0.6558149987437187,0.5732353225903823,0.49874686716791977,1372,-0.36078370408163263,0.649130410023644,0.534684333593141,-0.24167342021902732,-0.060838630513381564,0,3
ETH/USDT,UNKNOWN,LONG,INELIGIBLE_UNKNOWN,False,1290,-0.17308709844961234,0.9092261448447757,0.5728241563055062,783,-0.7661219489144316,0.5712627518348826,0.5557132718239887,1325,-0.33524661132075473,0.7527247291633693,0.5399348003259984,-0.16215951287114239,-0.03288935597950782,0,3
ALL,UNKNOWN,LONG,INELIGIBLE_UNKNOWN,False,2833,-0.14368850158842217,0.9135239733551356,0.584967995044394,2045,-0.6692543936430319,0.6286501852433243,0.5041913214990138,3889,-0.29349465492414495,0.7798686808187895,0.5363398151979037,-0.14980615333572278,-0.04862817984649026,0,3
SOL/USDT,UNKNOWN,LONG,INELIGIBLE_UNKNOWN,False,0,0.0,0.0,0.0,466,-0.5294485193133047,0.7679330409509678,0.4433872502378687,1192,-0.16963398573825503,0.897770416432362,0.5342895562528014,-0.16963398573825503,0.5342895562528014,0,2
