scope,component,component_label,expected_direction,status,promotion_eligible,legacy_samples,legacy_aligned_spearman,legacy_aligned_spread,legacy_feature_mean,transition_samples,transition_aligned_spearman,transition_aligned_spread,transition_feature_mean,recent_samples,recent_aligned_spearman,recent_aligned_spread,recent_feature_mean,recent_minus_legacy_spearman,recent_minus_legacy_spread
SYMBOL:ETH/USDT,momentum_score,Momentum,1.0,RECENT_HARMFUL,False,2252,-0.04049930951578102,-0.25260758081705154,23.516873889875665,1409,0.0662308153833731,0.7328505231216198,23.25124201561391,2454,-0.03632092021976704,-0.10043662377850165,23.097799511002446,0.004178389296013982,0.15217095703854988
LONG,volume_score,Volume,1.0,DECAYED,False,2833,0.03488131664246684,0.3991487144004047,4.68513942816802,2045,0.06693459029657073,0.8206023072559934,5.054278728606357,3889,0.013104058779245555,0.08192737372007161,4.841347390074569,-0.021777257863221284,-0.31722134068033314
SHORT,momentum_score,Momentum,1.0,DECAYED,False,2010,0.01196662746417732,0.5634156282306165,23.67313432835821,2011,-0.006726097324510997,-0.1106930715705765,23.28145201392342,3362,-0.006540171649548915,0.16181853626634957,23.268887566924448,-0.018506799113726234,-0.40159709196426696
SYMBOL:BTC/USDT,volume_score,Volume,1.0,DECAYED,False,2591,0.007494620213673432,0.26775444753086414,4.80084909301428,1596,0.017468785767997628,0.42121640100250624,4.87844611528822,2566,-0.003333845920775609,-0.1336199859813083,5.217069368667186,-0.01082846613444904,-0.40137443351217245
LONG,structure_score,Structure,1.0,DECAYED,False,2833,0.03182653401098254,0.46243764721139824,6.744793505118249,2045,0.01908284364495622,0.18914180068569597,6.4298288508557455,3889,0.02235771314926896,0.3334124929051468,6.500385703265621,-0.009468820861713578,-0.12902515430625144
SYMBOL:ETH/USDT,trend_score,Trend,1.0,DECAYED,False,2252,0.013614103107659316,0.5269080674955594,27.183392539964476,1409,-0.027356022349918355,0.015827352892415547,27.004258339247695,2454,0.005652771072092322,-0.03784958306188929,26.86756316218419,-0.007961332035566995,-0.5647576505574488
ALL,volume_score,Volume,1.0,DECAYED,False,4843,0.013162368242197872,0.22763471180842298,4.991327689448688,4056,0.007362490744291489,0.20140965187376714,5.106755424063117,7251,0.00972652721456407,-0.040558286817429734,5.031857674803476,-0.0034358410276338017,-0.2681929986258527
LONG,adaptive_adjustment,Adaptive Adjustment,1.0,DECAYED,False,2833,0.026121657926265415,0.30281025449029025,0.5810095305330039,2045,0.03663693688710193,0.3419023472855003,0.5163814180929095,3889,0.023050468727585274,0.0680206040109711,0.48855746978657755,-0.0030711891986801403,-0.23478965047931916
SYMBOL:ETH/USDT,volume_score,Volume,1.0,DECAYED,False,2252,0.01931256805952736,0.20329152753108343,5.210479573712256,1409,0.01441247653654739,0.33498274399626576,5.061036195883605,2454,0.01847151274121894,0.15131215798045605,4.926242868785656,-0.0008410553183084216,-0.051979369550627375
SYMBOL:BTC/USDT,structure_score,Structure,1.0,DECAYED,False,2591,-0.00938888561876166,0.1647370015432098,6.609803164801235,1596,0.07482159482619882,0.7920980275689224,6.309523809523809,2566,-0.0034124111488714874,-0.021607160436137085,6.286827747466875,0.005976474469890173,-0.1863441619793469
ALL,trend_score,Trend,1.0,DECAYED,False,4843,0.0016634675151907968,0.31476739554087535,27.132975428453438,4056,0.0025879977740074158,0.46271206607495063,27.108974358974358,7251,0.011543372271753657,-0.09852630170987303,26.975175837815474,0.009879904756562861,-0.4132936972507484
SYMBOL:BTC/USDT,trend_score,Trend,1.0,DECAYED,False,2591,-0.009838135508134664,0.11879499074074079,27.089154766499423,1596,0.010894534632144851,0.48377204323308265,26.883458646616543,2566,0.0056199225705636825,0.05743491588785038,26.963367108339828,0.015458058078698347,-0.06136007485289041
LONG,trend_score,Trend,1.0,DECAYED,False,2833,0.013181504779293174,0.5902438112484363,27.24991175432404,2045,-0.013927368358511275,-0.03466984245810907,27.104156479217604,3889,0.04367136534747113,-0.6342578412254324,27.089483157624066,0.030489860568177957,-1.2245016524738688
LONG,regime_score,Regime,1.0,DECAYED,False,2833,-0.019861756092946915,0.5930835629517184,4.434521708436287,2045,-0.025537449444671814,-0.12701761905271525,4.297799511002445,3889,0.047380025006288684,-0.6213209952683357,4.349190023142196,0.06724178109923559,-1.2144045582200542
ALL,regime_score,Regime,1.0,DECAYED,False,4843,-0.04725473785371922,0.10768437159372424,4.3047697708032215,4056,0.003318581900004772,0.3795390019723867,4.249260355029586,7251,0.022418151152254026,-0.0485186161059018,4.262032823058888,0.06967288900597324,-0.15620298769962604
SYMBOL:ETH/USDT,adaptive_adjustment,Adaptive Adjustment,1.0,UNSTABLE_SIGN_FLIP,False,2252,-0.036803553189073065,-0.9706673587921846,0.6793960923623446,1409,0.007310597506890828,0.3319377505150658,0.3797019162526615,2454,0.03275401175658288,0.44997260749185675,0.4490627546862266,0.06955756494565594,1.4206399662840412
SYMBOL:ETH/USDT,regime_score,Regime,1.0,UNSTABLE_SIGN_FLIP,False,2252,-0.035026992160847814,0.19795081172291296,4.273978685612788,1409,0.0071805479507017845,0.1485282839058073,4.256210078069553,2454,0.04645579842159252,0.15241030293159602,4.270578647106764,0.08148279058244033,-0.045540508791316936
SHORT,regime_score,Regime,1.0,UNSTABLE_SIGN_FLIP,False,2010,-0.0922347676226083,-0.868496833001988,4.121890547263682,2011,0.03180146119899343,0.9044993598409541,4.199900546991547,3362,-0.006932777992600275,0.2935368240190249,4.161213563355146,0.08530198963000801,1.1620336570210128
SYMBOL:ETH/USDT,structure_score,Structure,1.0,UNSTABLE_SIGN_FLIP,False,2252,-0.03279524976461016,-0.43026193605683843,6.69449378330373,1409,-0.012774346537054903,-0.14436123264872525,6.191625266146203,2454,0.08123942378610065,0.8467077149837134,6.41442542787286,0.11403467355071081,1.276969651040552
SHORT,structure_score,Structure,1.0,UNSTABLE_SIGN_FLIP,False,2010,-0.10260573970110701,-1.3056124333996024,6.514427860696517,2011,0.0005024458947635265,0.152919324055666,6.34410740924913,3362,0.033017939406426465,0.138940070154578,6.352171326591315,0.13562367910753348,1.4445525035541804
SYMBOL:SOL/USDT,risk_penalty,Risk Penalty,-1.0,WEAK_OR_MIXED,False,0,0.0,0.0,0.0,1051,-0.04715717931812277,-0.3598223840304182,-8.444338725023787,2231,-0.015930374583809116,-0.07714682616487456,-6.134020618556701,-0.015930374583809116,-0.07714682616487456
SYMBOL:SOL/USDT,momentum_score,Momentum,1.0,WEAK_OR_MIXED,False,0,0.0,0.0,0.0,1051,-0.029170512923119125,-0.6582995513307985,23.570884871550906,2231,-0.014030727360724082,0.000821100358422977,23.48050201703272,-0.014030727360724082,0.000821100358422977
SHORT,trend_score,Trend,1.0,WEAK_OR_MIXED,False,2010,-0.020526171775102183,-0.4436032763419486,26.9681592039801,2011,0.019087687669456024,0.7421090456903264,27.113873694679263,3362,-0.0244082833990599,0.2953147598097501,26.842950624628198,-0.003882111623957716,0.7389180361516987
SYMBOL:SOL/USDT,adaptive_adjustment,Adaptive Adjustment,1.0,WEAK_OR_MIXED,False,0,0.0,0.0,0.0,1051,-0.033691276035566396,-0.3840985171102663,0.9657469077069457,2231,-0.0037399661939747446,-0.435473311827957,0.737337516808606,-0.0037399661939747446,-0.435473311827957
SYMBOL:SOL/USDT,regime_score,Regime,1.0,WEAK_OR_MIXED,False,0,0.0,0.0,0.0,1051,-0.0017461802898777346,0.10251336121672999,4.37488106565176,2231,0.005437332053434046,-0.3962822885304659,4.429852084267145,0.005437332053434046,-0.3962822885304659
ALL,momentum_score,Momentum,1.0,WEAK_OR_MIXED,False,4843,-0.02401696425992013,-0.30788155243600324,23.29072888705348,4056,0.00996237636143004,0.06981020710059171,23.205374753451675,7251,-0.018552607037615316,-0.030480505791505796,23.131705971590126,0.005464357222304813,0.27740104664449744
SYMBOL:SOL/USDT,structure_score,Structure,1.0,WEAK_OR_MIXED,False,0,0.0,0.0,0.0,1051,-0.041549347383920895,-0.62048991634981,6.767840152235966,2231,0.005799399672297334,-0.04178074372759849,6.617212012550426,0.005799399672297334,-0.04178074372759849
SYMBOL:BTC/USDT,momentum_score,Momentum,1.0,WEAK_OR_MIXED,False,2591,-0.007873062502629103,-0.23842386265432092,23.094172134311076,1596,-0.01086745293720213,-0.03765890225563917,22.924185463659146,2566,-0.0014043762644358026,-0.14298590654205595,22.86087295401403,0.0064686862381933006,0.09543795611226497
LONG,risk_penalty,Risk Penalty,-1.0,WEAK_OR_MIXED,False,2833,-0.013015262073994597,-0.2672074464531887,-6.031415460642428,2045,0.04277832474184387,0.6436551802799351,-5.850366748166259,3889,-0.0040251566998018825,0.05642681660597447,-4.583697608639753,0.008990105374192713,0.3236342630591632
SYMBOL:SOL/USDT,volume_score,Volume,1.0,WEAK_OR_MIXED,False,0,0.0,0.0,0.0,1051,-0.015005771433778065,-0.04724469961977179,5.514747859181732,2231,0.011261879299927493,-0.07279516666666669,4.935006723442402,0.011261879299927493,-0.07279516666666669
SHORT,volume_score,Volume,1.0,WEAK_OR_MIXED,False,2010,-0.003033136333299853,-0.003941161033797269,5.422885572139304,2011,-0.052818325646956626,-0.381065666003976,5.160119343610144,3362,0.009223350322968622,-0.13157737812128412,5.252230814991076,0.012256486656268476,-0.12763621708748685
LONG,momentum_score,Momentum,1.0,WEAK_OR_MIXED,False,2833,-0.04057309297750721,-0.6510045034962109,23.019414048711614,2045,0.025839360346232132,0.1947937836235628,23.130562347188263,3889,-0.025650254804525676,-0.10713323209686221,23.013113911031112,0.014922838172981536,0.5438712713993487
SYMBOL:BTC/USDT,adaptive_adjustment,Adaptive Adjustment,1.0,WEAK_OR_MIXED,False,2591,-0.02958125693524469,-0.24468073919753092,0.5059822462369742,1596,0.05867653425096802,0.6108362731829573,0.28383458646616544,2566,-0.010496279754832848,-0.09879207632398745,0.24318004676539362,0.01908497718041184,0.14588866287354346
SYMBOL:SOL/USDT,trend_score,Trend,1.0,WEAK_OR_MIXED,False,0,0.0,0.0,0.0,1051,0.030493765124800634,0.0578613573999639,27.591817316841105,2231,0.02256025954230519,-0.4786350931899641,27.10712684894666,0.02256025954230519,-0.4786350931899641
ALL,adaptive_adjustment,Adaptive Adjustment,1.0,WEAK_OR_MIXED,False,4843,-0.03219269636343201,-0.5190683410404625,0.5866198637208342,4056,0.013755962399105403,0.28318245167652867,0.493836291913215,7251,0.007181998486152179,-0.013267082735797076,0.4649013929113226,0.03937469484958419,0.5058012583046654
SYMBOL:BTC/USDT,risk_penalty,Risk Penalty,-1.0,WEAK_OR_MIXED,False,2591,-0.058960562717886064,-0.6234978101851851,-5.586260131223466,1596,0.026686798512432858,0.48413839849624063,-4.62781954887218,2566,-0.018287410772557026,-0.08002002336448594,-3.676149649259548,0.04067315194532904,0.5434777868206992
ALL,structure_score,Structure,1.0,WEAK_OR_MIXED,False,4843,-0.01936112124471083,-0.17291659124690345,6.6491843898410075,4056,0.009401414261166172,0.2265097928994083,6.38732741617357,7251,0.02910216978881236,0.2302277170435742,6.431664597986485,0.04846329103352319,0.40314430829047765
ALL,risk_penalty,Risk Penalty,-1.0,WEAK_OR_MIXED,False,4843,-0.06420408309906112,-0.8519459430222958,-6.106958496799504,4056,0.004023004481301614,0.21308821597633149,-5.928994082840236,7251,-0.005771823176538662,-0.045674162713734145,-4.732726520479933,0.058432259922522455,0.8062717803085616
SYMBOL:BTC/USDT,regime_score,Regime,1.0,WEAK_OR_MIXED,False,2591,-0.05890337622291483,0.02618735956790119,4.331532226939405,1596,0.0022116404366067165,0.5264965263157894,4.160401002506266,2566,0.012804515578748609,0.08675780685358253,4.107950116913484,0.07170789180166344,0.06057044728568134
SYMBOL:ETH/USDT,risk_penalty,Risk Penalty,-1.0,WEAK_OR_MIXED,False,2252,-0.0696604550949836,-1.1452770959147422,-6.7060390763765545,1409,0.011840774209528289,0.35645043580189295,-5.5266146202980835,2454,0.01197720541249976,0.12835191530944623,-4.56356968215159,0.08163766050748336,1.2736290112241884
SHORT,adaptive_adjustment,Adaptive Adjustment,1.0,WEAK_OR_MIXED,False,2010,-0.11328728708307778,-1.8103427932405567,0.5945273631840796,2011,-0.008842944549093054,0.2847753399602385,0.4709099950273496,3362,-0.01223370911924323,-0.097711155766944,0.4375371802498513,0.10105357796383455,1.7126316374736126
SHORT,risk_penalty,Risk Penalty,-1.0,WEAK_OR_MIXED,False,2010,-0.13587297754428065,-1.799348053677933,-6.213432835820895,2011,-0.033553728728059416,-0.22288334194831033,-6.008950770760816,3362,-0.008564443944073871,-0.14122661950059445,-4.905116002379536,0.12730853360020677,1.6581214341773385
