side,threshold,eligible,sample_count,win_rate,expectancy,profit_factor,total_return,max_drawdown,variant
LONG,-0.1,True,1270,0.43543307086614175,0.046886863779527596,1.041226368445108,59.546317000000045,-288.1174630000001,ARCH_V2_BASE
LONG,0.0,True,919,0.4515778019586507,0.13578628835690967,1.1202618990073876,124.78759899999999,-179.56100099999992,ARCH_V2_BASE
LONG,0.05,True,800,0.455,0.18258134125000003,1.1632324430313388,146.065073,-165.55818499999987,ARCH_V2_BASE
LONG,0.1,True,679,0.4580265095729013,0.20183463770250362,1.183359342764357,137.04571899999996,-128.30703799999986,ARCH_V2_BASE
LONG,0.2,True,461,0.455531453362256,0.23208779826464207,1.2203863328567888,106.992475,-93.78045399999985,ARCH_V2_BASE
LONG,0.35,True,178,0.47191011235955055,0.40201515730337073,1.4329779557932842,71.55869799999999,-39.748469000000014,ARCH_V2_BASE
LONG,0.5,False,31,0.3548387096774194,-0.10984541935483873,0.8708222954154996,-3.4052080000000005,-11.987115,ARCH_V2_BASE
SHORT,-0.1,False,781,0.39820742637644047,-0.49845908578745196,0.6803388237520159,-389.296546,-516.4358899999999,ARCH_V2_BASE
SHORT,0.0,False,632,0.40348101265822783,-0.5340141803797468,0.6679307951590494,-337.496962,-434.4374520000005,ARCH_V2_BASE
SHORT,0.05,False,584,0.410958904109589,-0.5252847089041095,0.6755654003164094,-306.76626999999996,-403.2970090000003,ARCH_V2_BASE
SHORT,0.1,False,529,0.41965973534971646,-0.5233241928166351,0.674117134071035,-276.83849799999996,-352.5482570000004,ARCH_V2_BASE
SHORT,0.2,False,434,0.43317972350230416,-0.44042230414746547,0.7238863364109328,-191.14328,-272.0188099999998,ARCH_V2_BASE
SHORT,0.35,False,297,0.43097643097643096,-0.5092953131313132,0.6906202759334739,-151.26070800000002,-218.70177599999994,ARCH_V2_BASE
SHORT,0.5,False,190,0.38421052631578945,-0.8109281157894738,0.5254511242692589,-154.076342,-186.12688000000003,ARCH_V2_BASE
LONG,-0.1,True,1287,0.43434343434343436,0.05135726107226106,1.0451365600421612,66.09679499999999,-278.89855399999993,ARCH_V2_NO_MOMENTUM
LONG,0.0,True,896,0.4453125,0.1403495368303571,1.1234973307638902,125.75318499999997,-198.09312099999983,ARCH_V2_NO_MOMENTUM
LONG,0.05,True,770,0.4597402597402597,0.2083599948051948,1.1888345056905898,160.437196,-152.3865139999999,ARCH_V2_NO_MOMENTUM
LONG,0.1,True,660,0.45606060606060606,0.17258000151515146,1.1526509005027754,113.90280099999997,-142.74874399999985,ARCH_V2_NO_MOMENTUM
LONG,0.2,True,441,0.4671201814058957,0.24318284580498867,1.2288703443656548,107.243635,-79.78332999999999,ARCH_V2_NO_MOMENTUM
LONG,0.35,True,182,0.46703296703296704,0.37745269780219776,1.4014093363250713,68.69639099999999,-41.388883999999976,ARCH_V2_NO_MOMENTUM
LONG,0.5,False,40,0.4,0.3156961999999999,1.4330706436300125,12.627847999999997,-6.936161,ARCH_V2_NO_MOMENTUM
SHORT,-0.1,False,784,0.39285714285714285,-0.516627325255102,0.6679114093715303,-405.035823,-525.9955719999998,ARCH_V2_NO_MOMENTUM
SHORT,0.0,False,636,0.40723270440251574,-0.5301873679245283,0.6701227666400065,-337.199166,-433.3894280000006,ARCH_V2_NO_MOMENTUM
SHORT,0.05,False,583,0.40823327615780447,-0.5189532109777015,0.6774682277982075,-302.549722,-391.79690200000033,ARCH_V2_NO_MOMENTUM
SHORT,0.1,False,536,0.4253731343283582,-0.46675269962686566,0.7051227914997243,-250.179447,-343.3372809999999,ARCH_V2_NO_MOMENTUM
SHORT,0.2,False,433,0.42725173210161665,-0.46638427482678985,0.7079716893544478,-201.944391,-282.25658299999986,ARCH_V2_NO_MOMENTUM
SHORT,0.35,False,302,0.4370860927152318,-0.4986767417218542,0.6952286461740363,-150.60037599999998,-232.6377139999999,ARCH_V2_NO_MOMENTUM
SHORT,0.5,False,193,0.38341968911917096,-0.9431446217616579,0.4723114576539503,-182.02691199999998,-204.67133499999989,ARCH_V2_NO_MOMENTUM
LONG,-0.1,True,968,0.4369834710743802,0.08455729545454545,1.0691390407987218,81.851462,-223.64766599999987,ARCH_V2_LEAN
LONG,0.0,True,772,0.4520725388601036,0.16996259326424873,1.1396771409603288,131.21112200000002,-172.88184299999978,ARCH_V2_LEAN
LONG,0.05,True,566,0.4416961130742049,0.1453328763250884,1.1235622665842246,82.25840800000003,-116.88011399999995,ARCH_V2_LEAN
LONG,0.1,True,492,0.4451219512195122,0.19962443495934962,1.1696670601341956,98.21522200000001,-106.43198499999993,ARCH_V2_LEAN
LONG,0.2,True,242,0.4669421487603306,0.24818940082644622,1.2225395889575568,60.06183499999999,-75.94142599999996,ARCH_V2_LEAN
LONG,0.35,True,83,0.43373493975903615,0.29849489156626496,1.3360122092967586,24.77507599999999,-18.120175000000003,ARCH_V2_LEAN
LONG,0.5,False,0,0.0,0.0,0.0,0.0,0.0,ARCH_V2_LEAN
SHORT,-0.1,False,363,0.41597796143250687,-1.0908527548209366,0.5075030523888072,-395.97955,-420.2568840000001,ARCH_V2_LEAN
SHORT,0.0,False,363,0.41597796143250687,-1.0908527548209366,0.5075030523888072,-395.97955,-420.2568840000001,ARCH_V2_LEAN
SHORT,0.05,False,363,0.41597796143250687,-1.0908527548209366,0.5075030523888072,-395.97955,-420.2568840000001,ARCH_V2_LEAN
SHORT,0.1,False,363,0.41597796143250687,-1.0908527548209366,0.5075030523888072,-395.97955,-420.2568840000001,ARCH_V2_LEAN
SHORT,0.2,False,141,0.425531914893617,-1.267217184397163,0.4828502685476368,-178.67762299999998,-209.38481899999988,ARCH_V2_LEAN
SHORT,0.35,False,0,0.0,0.0,0.0,0.0,0.0,ARCH_V2_LEAN
SHORT,0.5,False,0,0.0,0.0,0.0,0.0,0.0,ARCH_V2_LEAN
LONG,-0.1,True,1270,0.43543307086614175,0.046886863779527596,1.041226368445108,59.546317000000045,-288.1174630000001,ARCH_V2_LONG_ONLY
LONG,0.0,True,919,0.4515778019586507,0.13578628835690967,1.1202618990073876,124.78759899999999,-179.56100099999992,ARCH_V2_LONG_ONLY
LONG,0.05,True,800,0.455,0.18258134125000003,1.1632324430313388,146.065073,-165.55818499999987,ARCH_V2_LONG_ONLY
LONG,0.1,True,679,0.4580265095729013,0.20183463770250362,1.183359342764357,137.04571899999996,-128.30703799999986,ARCH_V2_LONG_ONLY
