variant,side,train_rows,average_win_pct,average_loss_pct,feature_count,train_gate_pass_rate
ARCH_V2_BASE,LONG,4927,3.4064947566462167,-2.850229357791989,19,0.8362086462350314
ARCH_V2_BASE,SHORT,4090,3.6315048456284154,-3.1781381031987816,19,0.8151589242053789
ARCH_V2_NO_MOMENTUM,LONG,4927,3.4064947566462167,-2.850229357791989,17,0.8362086462350314
ARCH_V2_NO_MOMENTUM,SHORT,4090,3.6315048456284154,-3.1781381031987816,17,0.8151589242053789
ARCH_V2_LEAN,LONG,4927,3.4064947566462167,-2.850229357791989,11,0.8362086462350314
ARCH_V2_LEAN,SHORT,4090,3.6315048456284154,-3.1781381031987816,11,0.8151589242053789
ARCH_V2_LONG_ONLY,LONG,4927,3.4064947566462167,-2.850229357791989,19,0.8362086462350314
ARCH_V2_LONG_ONLY,SHORT,4090,3.6315048456284154,-3.1781381031987816,19,0.8151589242053789
