scope,variant,removed_component,component_label,component_active,selected_threshold,threshold_selected_on_optimize,holdout_rank_correlation,top_decile_count,top_decile_expectancy,fixed_sample_count,fixed_win_count,fixed_loss_count,fixed_flat_count,fixed_win_rate,fixed_avg_return,fixed_median_return,fixed_expectancy,fixed_profit_factor,fixed_max_drawdown,fixed_total_return,optimized_sample_count,optimized_win_count,optimized_loss_count,optimized_flat_count,optimized_win_rate,optimized_avg_return,optimized_median_return,optimized_expectancy,optimized_profit_factor,optimized_max_drawdown,optimized_total_return,delta_fixed_expectancy_vs_full,delta_fixed_profit_factor_vs_full,delta_fixed_sample_count_vs_full,diagnosis
SIDE:LONG,WITHOUT_STRUCTURE_SCORE,structure_score,Structure,True,75.0,True,-0.017684,150,-0.606817,150,53,97,0,0.353333,-0.606817,-1.110974,-0.606817,0.585406,-107.355303,-91.022573,50,14,36,0,0.28,-1.032432,-1.372802,-1.032432,0.387207,-63.914097,-51.6216,0.408202,0.204575,-181,REMOVAL_IMPROVES_BUT_NEGATIVE
SIDE:LONG,WITHOUT_REGIME_SCORE,regime_score,Regime,True,70.0,True,-0.041475,179,-0.885766,199,66,133,0,0.331658,-0.935074,-1.371049,-0.935074,0.432754,-203.132274,-186.079777,199,66,133,0,0.331658,-0.935074,-1.371049,-0.935074,0.432754,-203.132274,-186.079777,0.079945,0.051923,-132,REMOVAL_IMPROVES_BUT_NEGATIVE
SIDE:LONG,WITHOUT_RISK_PENALTY,risk_penalty,Risk Penalty,True,85.0,True,-0.071246,172,-1.221807,454,143,311,0,0.314978,-1.137014,-1.192647,-1.137014,0.344889,-530.881064,-516.204211,82,23,59,0,0.280488,-1.259694,-1.64508,-1.259694,0.350807,-117.866674,-103.294943,-0.121995,-0.035942,123,REMOVAL_HURTS
SIDE:LONG,WITHOUT_EXTERNAL_CONTEXT_SCORE,external_context_score,External Context,False,75.0,True,-0.033393,177,-0.902597,331,103,228,0,0.311178,-1.015019,-1.221683,-1.015019,0.380831,-347.794054,-335.971451,197,65,132,0,0.329949,-0.950697,-1.371049,-0.950697,0.423204,-204.339868,-187.287371,0.0,0.0,0,INACTIVE
SIDE:LONG,WITHOUT_ADAPTIVE_ADJUSTMENT,adaptive_adjustment,Adaptive Adjustment,True,70.0,True,-0.011534,175,-0.88817,265,82,183,0,0.309434,-0.998751,-1.371049,-0.998751,0.392783,-280.008839,-264.668894,265,82,183,0,0.309434,-0.998751,-1.371049,-0.998751,0.392783,-280.008839,-264.668894,0.016268,0.011952,-66,NEUTRAL_OR_MIXED
SIDE:LONG,WITHOUT_HISTORICAL_EDGE_SCORE,historical_edge_score,Historical Edge,False,75.0,True,-0.033393,177,-0.902597,331,103,228,0,0.311178,-1.015019,-1.221683,-1.015019,0.380831,-347.794054,-335.971451,197,65,132,0,0.329949,-0.950697,-1.371049,-0.950697,0.423204,-204.339868,-187.287371,0.0,0.0,0,INACTIVE
SIDE:SHORT,FULL,,Full Model,True,80.0,True,-0.046285,144,-0.59857,264,94,170,0,0.356061,-0.560944,-0.822925,-0.560944,0.598252,-256.786011,-148.089218,50,13,37,0,0.26,-1.062964,-1.188201,-1.062964,0.326755,-64.96706,-53.148187,0.0,0.0,0,BASELINE
SIDE:SHORT,WITHOUT_TREND_SCORE,trend_score,Trend,True,55.0,True,-0.056375,140,-0.548444,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,13,27,0,0.325,-0.756374,-0.851998,-0.756374,0.424032,-42.552774,-30.254958,0.560944,-0.598252,-264,INSUFFICIENT_HOLDOUT_SELECTION
SIDE:SHORT,WITHOUT_MOMENTUM_SCORE,momentum_score,Momentum,True,55.0,True,-0.034058,139,-0.835975,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,16,29,0,0.355556,-0.384627,-0.776593,-0.384627,0.696134,-43.512876,-17.308206,0.560944,-0.598252,-264,INSUFFICIENT_HOLDOUT_SELECTION
SIDE:SHORT,WITHOUT_VOLUME_SCORE,volume_score,Volume,True,65.0,True,-0.051312,142,-0.730574,77,23,54,0,0.298701,-0.860937,-0.927403,-0.860937,0.361143,-88.640961,-66.292143,190,67,123,0,0.352632,-0.595744,-0.72079,-0.595744,0.547855,-188.884178,-113.191411,-0.299993,-0.237109,-187,REMOVAL_HURTS
SIDE:SHORT,WITHOUT_STRUCTURE_SCORE,structure_score,Structure,True,70.0,True,-0.046826,136,-0.458613,95,33,62,0,0.347368,-0.347342,-0.927403,-0.347342,0.721933,-80.151411,-32.997486,95,33,62,0,0.347368,-0.347342,-0.927403,-0.347342,0.721933,-80.151411,-32.997486,0.213602,0.123681,-169,REMOVAL_IMPROVES_BUT_NEGATIVE
SIDE:SHORT,WITHOUT_REGIME_SCORE,regime_score,Regime,True,75.0,True,-0.054979,145,-0.600044,145,55,90,0,0.37931,-0.600044,-0.715372,-0.600044,0.558563,-137.42019,-87.006363,50,13,37,0,0.26,-1.062964,-1.188201,-1.062964,0.326755,-64.96706,-53.148187,-0.0391,-0.039689,-119,NEUTRAL_OR_MIXED
SIDE:SHORT,WITHOUT_RISK_PENALTY,risk_penalty,Risk Penalty,True,,False,-0.019807,144,-1.043581,441,174,267,0,0.394558,-0.532845,-0.737322,-0.532845,0.685901,-530.180311,-234.984427,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028099,0.087649,177,NEUTRAL_OR_MIXED
SIDE:SHORT,WITHOUT_EXTERNAL_CONTEXT_SCORE,external_context_score,External Context,False,80.0,True,-0.046285,144,-0.59857,264,94,170,0,0.356061,-0.560944,-0.822925,-0.560944,0.598252,-256.786011,-148.089218,50,13,37,0,0.26,-1.062964,-1.188201,-1.062964,0.326755,-64.96706,-53.148187,0.0,0.0,0,INACTIVE
SIDE:SHORT,WITHOUT_ADAPTIVE_ADJUSTMENT,adaptive_adjustment,Adaptive Adjustment,True,75.0,True,-0.03461,140,-0.474407,204,73,131,0,0.357843,-0.518841,-0.721766,-0.518841,0.61609,-190.594296,-105.843464,73,23,50,0,0.315068,-0.634452,-0.927403,-0.634452,0.51178,-68.0078,-46.314961,0.042103,0.017838,-60,NEUTRAL_OR_MIXED
SIDE:SHORT,WITHOUT_HISTORICAL_EDGE_SCORE,historical_edge_score,Historical Edge,False,80.0,True,-0.046285,144,-0.59857,264,94,170,0,0.356061,-0.560944,-0.822925,-0.560944,0.598252,-256.786011,-148.089218,50,13,37,0,0.26,-1.062964,-1.188201,-1.062964,0.326755,-64.96706,-53.148187,0.0,0.0,0,INACTIVE
REGIME:BULL,FULL,,Full Model,True,75.0,True,-0.04879,144,-0.804082,334,104,230,0,0.311377,-1.030424,-1.224181,-1.030424,0.379681,-350.016839,-344.161581,198,65,133,0,0.328283,-0.958571,-1.372802,-0.958571,0.419958,-206.562653,-189.797103,0.0,0.0,0,BASELINE
REGIME:BULL,WITHOUT_TREND_SCORE,trend_score,Trend,True,55.0,True,-0.040623,142,-0.848495,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,17,45,0,0.274194,-1.112356,-1.37674,-1.112356,0.342743,-87.51938,-68.966056,1.030424,-0.379681,-334,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:BULL,WITHOUT_MOMENTUM_SCORE,momentum_score,Momentum,True,55.0,True,-0.078212,157,-1.022181,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,17,44,0,0.278689,-1.401903,-1.629093,-1.401903,0.282634,-91.375059,-85.516111,1.030424,-0.379681,-334,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:BULL,WITHOUT_VOLUME_SCORE,volume_score,Volume,True,70.0,True,-0.020474,140,-1.121021,108,25,83,0,0.231481,-1.311923,-1.40665,-1.311923,0.25256,-156.743067,-141.687684,108,25,83,0,0.231481,-1.311923,-1.40665,-1.311923,0.25256,-156.743067,-141.687684,-0.281499,-0.127121,-226,REMOVAL_HURTS
REGIME:BULL,WITHOUT_STRUCTURE_SCORE,structure_score,Structure,True,75.0,True,-0.037139,151,-0.619419,151,53,98,0,0.350993,-0.619419,-1.149827,-0.619419,0.57879,-108.412725,-93.532305,50,14,36,0,0.28,-1.032432,-1.372802,-1.032432,0.387207,-63.914097,-51.6216,0.411005,0.199109,-183,REMOVAL_IMPROVES_BUT_NEGATIVE
REGIME:BULL,WITHOUT_REGIME_SCORE,regime_score,Regime,True,70.0,True,-0.048189,144,-0.804082,198,65,133,0,0.328283,-0.958571,-1.372802,-0.958571,0.419958,-206.562653,-189.797103,198,65,133,0,0.328283,-0.958571,-1.372802,-0.958571,0.419958,-206.562653,-189.797103,0.071853,0.040277,-136,REMOVAL_IMPROVES_BUT_NEGATIVE
REGIME:BULL,WITHOUT_RISK_PENALTY,risk_penalty,Risk Penalty,True,85.0,True,-0.086855,145,-1.208692,459,143,316,0,0.311547,-1.190976,-1.221683,-1.190976,0.331616,-560.062644,-546.658119,82,23,59,0,0.280488,-1.259694,-1.64508,-1.259694,0.350807,-117.866674,-103.294943,-0.160552,-0.048065,125,REMOVAL_HURTS
REGIME:BULL,WITHOUT_EXTERNAL_CONTEXT_SCORE,external_context_score,External Context,False,75.0,True,-0.04879,144,-0.804082,334,104,230,0,0.311377,-1.030424,-1.224181,-1.030424,0.379681,-350.016839,-344.161581,198,65,133,0,0.328283,-0.958571,-1.372802,-0.958571,0.419958,-206.562653,-189.797103,0.0,0.0,0,INACTIVE
REGIME:BULL,WITHOUT_ADAPTIVE_ADJUSTMENT,adaptive_adjustment,Adaptive Adjustment,True,70.0,True,-0.025032,147,-0.713681,265,81,184,0,0.30566,-1.049333,-1.374556,-1.049333,0.374739,-284.487143,-278.07321,265,81,184,0,0.30566,-1.049333,-1.374556,-1.049333,0.374739,-284.487143,-278.07321,-0.018909,-0.004942,-69,NEUTRAL_OR_MIXED
REGIME:BULL,WITHOUT_HISTORICAL_EDGE_SCORE,historical_edge_score,Historical Edge,False,75.0,True,-0.04879,144,-0.804082,334,104,230,0,0.311377,-1.030424,-1.224181,-1.030424,0.379681,-350.016839,-344.161581,198,65,133,0,0.328283,-0.958571,-1.372802,-0.958571,0.419958,-206.562653,-189.797103,0.0,0.0,0,INACTIVE
REGIME:BEAR,FULL,,Full Model,True,80.0,True,-0.077581,138,-0.7041,256,88,168,0,0.34375,-0.626168,-0.924379,-0.626168,0.563193,-256.786011,-160.299098,48,11,37,0,0.229167,-1.231668,-1.312868,-1.231668,0.251107,-64.039657,-59.120055,0.0,0.0,0,BASELINE
REGIME:BEAR,WITHOUT_TREND_SCORE,trend_score,Trend,True,55.0,True,-0.076512,130,-0.641387,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,13,27,0,0.325,-0.756374,-0.851998,-0.756374,0.424032,-42.552774,-30.254958,0.626168,-0.563193,-256,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:BEAR,WITHOUT_MOMENTUM_SCORE,momentum_score,Momentum,True,55.0,True,-0.071612,132,-0.922616,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,14,29,0,0.325581,-0.541397,-0.962513,-0.541397,0.59129,-43.512876,-23.280074,0.626168,-0.563193,-256,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:BEAR,WITHOUT_VOLUME_SCORE,volume_score,Volume,True,65.0,True,-0.078528,138,-0.854603,76,22,54,0,0.289474,-0.926418,-0.928699,-0.926418,0.32148,-87.713558,-70.407782,185,62,123,0,0.335135,-0.701745,-0.892243,-0.701745,0.48142,-188.884178,-129.822893,-0.30025,-0.241713,-180,REMOVAL_HURTS
REGIME:BEAR,WITHOUT_STRUCTURE_SCORE,structure_score,Structure,True,70.0,True,-0.074677,133,-0.544804,92,30,62,0,0.326087,-0.468315,-0.936497,-0.468315,0.636926,-80.151411,-43.084993,92,30,62,0,0.326087,-0.468315,-0.936497,-0.468315,0.636926,-80.151411,-43.084993,0.157853,0.073733,-164,REMOVAL_IMPROVES_BUT_NEGATIVE
REGIME:BEAR,WITHOUT_REGIME_SCORE,regime_score,Regime,True,75.0,True,-0.080528,138,-0.7041,138,50,88,0,0.362319,-0.7041,-0.848974,-0.7041,0.503883,-136.607856,-97.165759,48,11,37,0,0.229167,-1.231668,-1.312868,-1.231668,0.251107,-64.039657,-59.120055,-0.077932,-0.05931,-118,REMOVAL_HURTS
REGIME:BEAR,WITHOUT_RISK_PENALTY,risk_penalty,Risk Penalty,True,,False,-0.053152,138,-1.129943,422,161,261,0,0.381517,-0.5931,-0.847982,-0.5931,0.661136,-530.180311,-250.288066,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033068,0.097943,166,NEUTRAL_OR_MIXED
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,external_context_score,External Context,False,80.0,True,-0.077581,138,-0.7041,256,88,168,0,0.34375,-0.626168,-0.924379,-0.626168,0.563193,-256.786011,-160.299098,48,11,37,0,0.229167,-1.231668,-1.312868,-1.231668,0.251107,-64.039657,-59.120055,0.0,0.0,0,INACTIVE
REGIME:BEAR,WITHOUT_ADAPTIVE_ADJUSTMENT,adaptive_adjustment,Adaptive Adjustment,True,75.0,True,-0.068529,137,-0.558427,198,68,130,0,0.343434,-0.595931,-0.812051,-0.595931,0.570753,-189.781962,-117.994317,71,21,50,0,0.295775,-0.771264,-0.931649,-0.771264,0.422761,-68.0078,-54.759755,0.030237,0.00756,-58,NEUTRAL_OR_MIXED
REGIME:BEAR,WITHOUT_HISTORICAL_EDGE_SCORE,historical_edge_score,Historical Edge,False,80.0,True,-0.077581,138,-0.7041,256,88,168,0,0.34375,-0.626168,-0.924379,-0.626168,0.563193,-256.786011,-160.299098,48,11,37,0,0.229167,-1.231668,-1.312868,-1.231668,0.251107,-64.039657,-59.120055,0.0,0.0,0,INACTIVE
REGIME:SIDEWAYS,FULL,,Full Model,True,50.0,True,0.128113,13,-0.191097,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,45,71,0,0.387931,-0.429247,-0.682583,-0.429247,0.662758,-74.894275,-49.792682,0.0,0.0,0,BASELINE
REGIME:SIDEWAYS,WITHOUT_TREND_SCORE,trend_score,Trend,True,,False,0.145226,13,0.100167,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:SIDEWAYS,WITHOUT_MOMENTUM_SCORE,momentum_score,Momentum,True,,False,0.082967,15,0.161065,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:SIDEWAYS,WITHOUT_VOLUME_SCORE,volume_score,Volume,True,50.0,True,-0.063112,21,-1.203006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,15,30,0,0.333333,-0.924854,-0.835735,-0.924854,0.384546,-45.096871,-41.618423,0.0,0.0,0,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:SIDEWAYS,WITHOUT_STRUCTURE_SCORE,structure_score,Structure,True,,False,0.136313,18,0.058337,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:SIDEWAYS,WITHOUT_REGIME_SCORE,regime_score,Regime,False,50.0,True,0.128113,13,-0.191097,3,1,2,0,0.333333,0.131753,-0.812334,0.131753,1.095239,-0.812334,0.39526,116,45,71,0,0.387931,-0.429247,-0.682583,-0.429247,0.662758,-74.894275,-49.792682,0.131753,1.095239,3,INACTIVE
REGIME:SIDEWAYS,WITHOUT_RISK_PENALTY,risk_penalty,Risk Penalty,True,50.0,True,0.083501,13,0.282969,1,1,0,0,1.0,4.54544,4.54544,4.54544,4.54544,0.0,4.54544,116,45,71,0,0.387931,-0.429247,-0.682583,-0.429247,0.662758,-74.894275,-49.792682,4.54544,4.54544,1,INSUFFICIENT_HOLDOUT_SELECTION
REGIME:SIDEWAYS,WITHOUT_EXTERNAL_CONTEXT_SCORE,external_context_score,External Context,False,50.0,True,0.128113,13,-0.191097,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,45,71,0,0.387931,-0.429247,-0.682583,-0.429247,0.662758,-74.894275,-49.792682,0.0,0.0,0,INACTIVE
REGIME:SIDEWAYS,WITHOUT_ADAPTIVE_ADJUSTMENT,adaptive_adjustment,Adaptive Adjustment,False,50.0,True,0.128113,13,-0.191097,3,1,2,0,0.333333,0.131753,-0.812334,0.131753,1.095239,-0.812334,0.39526,116,45,71,0,0.387931,-0.429247,-0.682583,-0.429247,0.662758,-74.894275,-49.792682,0.131753,1.095239,3,INACTIVE
REGIME:SIDEWAYS,WITHOUT_HISTORICAL_EDGE_SCORE,historical_edge_score,Historical Edge,False,50.0,True,0.128113,13,-0.191097,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,45,71,0,0.387931,-0.429247,-0.682583,-0.429247,0.662758,-74.894275,-49.792682,0.0,0.0,0,INACTIVE
