scope,variant,threshold,sample_count,win_count,loss_count,flat_count,win_rate,avg_return,median_return,expectancy,profit_factor,max_drawdown,total_return,viable,objective
REGIME:BEAR,WITHOUT_REGIME_SCORE,85,2,1,1,0,0.5,1.675534,1.675534,1.675534,2.539748,0.0,3.351069,False,-inf
REGIME:BEAR,WITHOUT_REGIME_SCORE,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,50,1215,470,745,0,0.386831,-0.423725,-0.666863,-0.423725,0.727066,-657.899012,-514.825329,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,55,1166,454,712,0,0.389365,-0.396596,-0.673593,-0.396596,0.74389,-616.565783,-462.431237,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,60,967,385,582,0,0.398139,-0.382606,-0.620551,-0.382606,0.75837,-518.25466,-369.980351,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,65,628,243,385,0,0.386943,-0.4945,-0.743619,-0.4945,0.702838,-362.095992,-310.546201,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,70,428,169,259,0,0.39486,-0.62622,-0.757435,-0.62622,0.643204,-297.319541,-268.022009,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,75,286,114,172,0,0.398601,-0.361221,-0.721029,-0.361221,0.782062,-124.157881,-103.309349,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,80,155,56,99,0,0.36129,-0.607831,-0.904549,-0.607831,0.685089,-117.672924,-94.213841,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,85,84,32,52,0,0.380952,-0.38569,-1.01392,-0.38569,0.792374,-76.740481,-32.397925,False,-inf
REGIME:BEAR,WITHOUT_RISK_PENALTY,90,17,9,8,0,0.529412,1.666068,0.15623,1.666068,2.160341,-12.892114,28.323152,False,-inf
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,50,1215,470,745,0,0.386831,-0.423725,-0.666863,-0.423725,0.727066,-657.899012,-514.825329,False,-inf
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,55,921,360,561,0,0.390879,-0.36765,-0.649138,-0.36765,0.764619,-551.23902,-338.605915,False,-inf
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,60,626,244,382,0,0.389776,-0.394218,-0.658301,-0.394218,0.754717,-368.054762,-246.780616,False,-inf
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,65,422,171,251,0,0.405213,-0.272869,-0.651744,-0.272869,0.823738,-217.875291,-115.150894,False,-inf
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,70,262,111,151,0,0.423664,-0.133795,-0.671669,-0.133795,0.911258,-134.371432,-35.054246,False,-inf
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,75,152,65,87,0,0.427632,0.03029,-0.639382,0.03029,1.022211,-67.657364,4.604149,True,-0.48960134654388343
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,80,59,24,35,0,0.40678,0.094791,-0.663013,0.094791,1.070731,-30.072905,5.59266,True,-0.017882379659745096
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,85,15,6,9,0,0.4,1.446687,-0.224676,1.446687,2.005779,-7.380008,21.700311,False,-inf
REGIME:BEAR,WITHOUT_EXTERNAL_CONTEXT_SCORE,90,2,1,1,0,0.5,1.675534,1.675534,1.675534,2.539748,0.0,3.351069,False,-inf
REGIME:BEAR,WITHOUT_ADAPTIVE_ADJUSTMENT,50,1184,458,726,0,0.386824,-0.408213,-0.673593,-0.408213,0.736347,-634.156732,-483.324381,False,-inf
REGIME:BEAR,WITHOUT_ADAPTIVE_ADJUSTMENT,55,935,360,575,0,0.385027,-0.382863,-0.653589,-0.382863,0.755082,-546.401797,-357.977231,False,-inf
REGIME:BEAR,WITHOUT_ADAPTIVE_ADJUSTMENT,60,612,244,368,0,0.398693,-0.283769,-0.649518,-0.283769,0.819904,-355.644119,-173.666781,False,-inf
