scope,component,component_label,bin_order,bin_label,sample_count,component_mean,avg_return,median_return,win_rate
REGIME:QUIET,momentum_score,Momentum,0,"(18.999, 21.2]",9,20.222222,-2.107536,-0.839866,0.222222
REGIME:QUIET,momentum_score,Momentum,1,"(21.2, 23.4]",11,22.454545,-0.846043,-0.429363,0.363636
REGIME:QUIET,momentum_score,Momentum,2,"(23.4, 25.6]",44,24.431818,-1.330126,-0.868996,0.204545
REGIME:QUIET,momentum_score,Momentum,3,"(25.6, 27.8]",24,26.375,-0.378395,-0.596924,0.25
REGIME:QUIET,momentum_score,Momentum,4,"(27.8, 30.0]",93,29.225806,-0.464181,-0.993469,0.344086
REGIME:QUIET,volume_score,Volume,0,"(-0.001, 3.0]",75,0.813333,-0.522105,-0.766808,0.306667
REGIME:QUIET,volume_score,Volume,1,"(3.0, 6.0]",35,4.2,-0.566867,-0.840745,0.342857
REGIME:QUIET,volume_score,Volume,2,"(6.0, 9.0]",31,8.290323,-0.518032,-0.606039,0.258065
REGIME:QUIET,volume_score,Volume,3,"(9.0, 12.0]",19,11.0,-2.293737,-2.570953,0.210526
REGIME:QUIET,volume_score,Volume,4,"(12.0, 15.0]",21,13.47619,-0.971997,-1.39072,0.285714
REGIME:QUIET,structure_score,Structure,0,"(-0.001, 2.0]",15,0.133333,2.744061,2.345347,0.666667
REGIME:QUIET,structure_score,Structure,1,"(2.0, 4.0]",92,3.380435,-1.229947,-1.101606,0.26087
REGIME:QUIET,structure_score,Structure,2,"(4.0, 6.0]",10,5.6,-1.706809,-0.635601,0.2
REGIME:QUIET,structure_score,Structure,3,"(6.0, 8.0]",58,7.0,-0.711713,-0.869456,0.275862
REGIME:QUIET,structure_score,Structure,4,"(8.0, 10.0]",6,10.0,-1.451414,-1.79706,0.166667
REGIME:QUIET,regime_score,Regime,0,CONSTANT,181,-2.0,-0.768233,-0.839866,0.292818
REGIME:QUIET,risk_penalty,Risk Penalty,0,"(-9.001, -7.2]",6,-9.0,-2.827123,-3.750529,0.166667
REGIME:QUIET,risk_penalty,Risk Penalty,1,"(-7.2, -5.4]",2,-6.0,-0.435901,-0.435901,0.5
REGIME:QUIET,risk_penalty,Risk Penalty,2,"(-5.4, -3.6]",13,-4.461538,-1.835538,-1.66824,0.0
REGIME:QUIET,risk_penalty,Risk Penalty,3,"(-3.6, -1.8]",42,-2.0,-0.62105,-0.648635,0.357143
REGIME:QUIET,risk_penalty,Risk Penalty,4,"(-1.8, 0.0]",118,0.0,-0.603979,-0.799665,0.305085
REGIME:QUIET,external_context_score,External Context,0,CONSTANT,181,0.0,-0.768233,-0.839866,0.292818
REGIME:QUIET,adaptive_adjustment,Adaptive Adjustment,0,"(-2.001, -0.5]",141,-2.0,-0.532321,-0.727299,0.304965
REGIME:QUIET,adaptive_adjustment,Adaptive Adjustment,1,"(-0.5, 1.0]",40,1.0,-1.599824,-1.807794,0.25
REGIME:QUIET,historical_edge_score,Historical Edge,0,CONSTANT,181,0.0,-0.768233,-0.839866,0.292818
