scope,component,component_label,bin_order,bin_label,sample_count,component_mean,avg_return,median_return,win_rate
SIDE:LONG,volume_score,Volume,3,"(10.8, 14.4]",1073,11.785648,-0.151493,-0.660021,0.400746
SIDE:LONG,volume_score,Volume,4,"(14.4, 18.0]",325,15.046154,-0.118168,-0.457947,0.433846
SIDE:LONG,structure_score,Structure,0,"(-0.001, 2.0]",240,0.0,-0.138621,-0.347577,0.433333
SIDE:LONG,structure_score,Structure,1,"(2.0, 4.0]",1402,3.246077,-0.414463,-0.668635,0.39301
SIDE:LONG,structure_score,Structure,2,"(4.0, 6.0]",2575,5.990291,-0.406344,-0.60318,0.396893
SIDE:LONG,structure_score,Structure,3,"(6.0, 8.0]",1428,7.116947,-0.271311,-0.724525,0.39986
SIDE:LONG,structure_score,Structure,4,"(8.0, 10.0]",1808,10.0,-0.070401,-0.559918,0.41427
SIDE:LONG,regime_score,Regime,0,"(-8.001, -5.4]",12,-8.0,-1.807278,-1.817439,0.166667
SIDE:LONG,regime_score,Regime,1,"(-5.4, -2.8]",355,-4.842254,-0.309898,-0.56799,0.419718
SIDE:LONG,regime_score,Regime,2,"(-2.8, -0.2]",107,-2.0,-0.542507,-0.727299,0.327103
SIDE:LONG,regime_score,Regime,3,"(-0.2, 2.4]",170,0.0,-1.011833,-1.535788,0.258824
SIDE:LONG,regime_score,Regime,4,"(2.4, 5.0]",6809,5.0,-0.266359,-0.570125,0.406374
SIDE:LONG,risk_penalty,Risk Penalty,0,"(-25.001, -20.0]",16,-21.1875,-1.254979,-2.641262,0.375
SIDE:LONG,risk_penalty,Risk Penalty,1,"(-20.0, -15.0]",164,-16.762195,1.398582,-1.355208,0.396341
SIDE:LONG,risk_penalty,Risk Penalty,2,"(-15.0, -10.0]",705,-11.965957,0.088572,-0.541935,0.439716
SIDE:LONG,risk_penalty,Risk Penalty,3,"(-10.0, -5.0]",2430,-6.922222,-0.361036,-0.676973,0.399588
SIDE:LONG,risk_penalty,Risk Penalty,4,"(-5.0, 0.0]",4138,-1.559207,-0.379365,-0.564202,0.397535
SIDE:LONG,external_context_score,External Context,0,CONSTANT,7453,0.0,-0.291882,-0.608507,0.40212
SIDE:LONG,adaptive_adjustment,Adaptive Adjustment,0,"(-8.001, -5.2]",46,-7.26087,-0.777995,-0.737948,0.347826
SIDE:LONG,adaptive_adjustment,Adaptive Adjustment,1,"(-5.2, -2.4]",936,-3.662393,-0.226155,-0.564202,0.417735
SIDE:LONG,adaptive_adjustment,Adaptive Adjustment,2,"(-2.4, 0.4]",3210,-0.71215,-0.429806,-0.652837,0.390654
SIDE:LONG,adaptive_adjustment,Adaptive Adjustment,3,"(0.4, 3.2]",2203,1.975942,-0.267421,-0.544954,0.405356
SIDE:LONG,adaptive_adjustment,Adaptive Adjustment,4,"(3.2, 6.0]",1058,5.336484,0.038637,-0.665871,0.418715
SIDE:LONG,historical_edge_score,Historical Edge,0,CONSTANT,7453,0.0,-0.291882,-0.608507,0.40212
SIDE:SHORT,trend_score,Trend,0,"(5.999, 10.4]",32,6.0,0.304963,0.305655,0.53125
SIDE:SHORT,trend_score,Trend,1,"(10.4, 14.8]",2,11.0,0.105956,0.105956,0.5
SIDE:SHORT,trend_score,Trend,2,"(14.8, 19.2]",626,17.0,-0.570727,-0.562731,0.376997
SIDE:SHORT,trend_score,Trend,3,"(19.2, 23.6]",7,22.0,-0.016544,-0.146297,0.428571
SIDE:SHORT,trend_score,Trend,4,"(23.6, 28.0]",6054,28.0,-0.609617,-0.800526,0.36736
SIDE:SHORT,momentum_score,Momentum,0,"(10.999, 14.8]",148,13.702703,-0.27602,-0.439925,0.398649
SIDE:SHORT,momentum_score,Momentum,1,"(14.8, 18.6]",722,16.912742,-0.447624,-0.63063,0.400277
SIDE:SHORT,momentum_score,Momentum,2,"(18.6, 22.4]",2127,20.892337,-0.674481,-0.79703,0.370005
