scope,sample_count,win_rate,avg_return,median_return,profit_factor,total_return,max_drawdown,avg_win,avg_loss,payoff_ratio,break_even_win_rate,actual_minus_break_even_win_rate,target_1_hit_rate,target_2_hit_rate,target_3_hit_rate,stop_hit_rate,avg_mfe_pct,avg_mae_pct
ALL,14174,0.386482,-0.438369,-0.696932,0.708966,-6213.443924,-6437.964785,2.763073,-2.455101,1.125442,0.47049,-0.084008,0.645619,0.435516,0.299704,0.554466,4.168074,-3.305966
SIDE:LONG,7453,0.40212,-0.291882,-0.608507,0.792666,-2175.39931,-2380.019384,2.775052,-2.35463,1.178551,0.459021,-0.056901,0.655038,0.453374,0.318664,0.560311,4.03255,-3.250242
SIDE:SHORT,6721,0.369141,-0.60081,-0.775219,0.628081,-4038.044614,-4458.944704,2.748603,-2.560691,1.073383,0.482303,-0.113162,0.635173,0.415712,0.278679,0.547984,4.318359,-3.367759
REGIME:BULL,6840,0.40614,-0.268698,-0.571382,0.808334,-1837.896994,-2022.381573,2.790195,-2.360674,1.181948,0.458306,-0.052166,0.669298,0.468275,0.331579,0.56652,4.17898,-3.338617
REGIME:BEAR,6104,0.371232,-0.590168,-0.778682,0.637556,-3602.386902,-4053.351367,2.79646,-2.589673,1.079851,0.480804,-0.109572,0.645151,0.426278,0.28768,0.559305,4.482309,-3.485042
REGIME:SIDEWAYS,578,0.391003,-0.390191,-0.637301,0.679824,-225.530364,-254.652051,2.118869,-2.001121,1.058841,0.48571,-0.094707,0.553633,0.323529,0.198962,0.461938,2.277398,-1.90648
REGIME:VOLATILE,114,0.377193,-0.575894,-0.831452,0.729753,-65.651913,-99.440353,4.122806,-3.421585,1.20494,0.453527,-0.076334,0.535088,0.307018,0.210526,0.350877,4.904517,-3.720125
REGIME:QUIET,181,0.292818,-0.768233,-0.839866,0.499803,-139.050154,-142.853951,2.621522,-2.171803,1.207071,0.453089,-0.160271,0.563536,0.331492,0.20442,0.530387,2.420527,-2.116302
