scope,component,component_label,sample_count,active,mean_points,std_points,min_points,max_points,spearman_return,pearson_return,spearman_win,low_bin_avg_return,high_bin_avg_return,high_minus_low_return,diagnosis
REGIME:SIDEWAYS,momentum_score,Momentum,578,True,27.470588,2.467084,20.0,30.0,0.070925,0.079386,0.090067,-0.741878,-0.082181,0.659697,SUPPORTIVE_ASSOCIATION
REGIME:SIDEWAYS,volume_score,Volume,578,True,8.181661,4.678953,0.0,16.0,0.008554,-0.015668,0.041956,-0.308865,-0.625537,-0.316672,MIXED_OR_WEAK
REGIME:SIDEWAYS,structure_score,Structure,578,True,5.553633,1.911012,3.0,7.0,0.025689,0.039319,0.030611,-0.532005,-0.310879,0.221126,SUPPORTIVE_ASSOCIATION
REGIME:SIDEWAYS,regime_score,Regime,578,False,-5.0,0.0,-5.0,-5.0,0.0,0.0,0.0,-0.390191,-0.390191,0.0,INACTIVE
REGIME:SIDEWAYS,risk_penalty,Risk Penalty,578,True,-1.963668,2.636658,-12.0,0.0,0.004965,-0.006944,-0.045447,,-0.413864,,MIXED_OR_WEAK
REGIME:SIDEWAYS,external_context_score,External Context,578,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.390191,-0.390191,0.0,INACTIVE
REGIME:SIDEWAYS,adaptive_adjustment,Adaptive Adjustment,578,False,-5.0,0.0,-5.0,-5.0,0.0,0.0,0.0,-0.390191,-0.390191,0.0,INACTIVE
REGIME:SIDEWAYS,historical_edge_score,Historical Edge,578,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.390191,-0.390191,0.0,INACTIVE
REGIME:VOLATILE,trend_score,Trend,114,True,27.035088,3.111749,17.0,28.0,0.053711,-0.01982,0.049386,,-0.60598,,MIXED_OR_WEAK
REGIME:VOLATILE,momentum_score,Momentum,114,True,27.210526,2.61733,21.0,30.0,0.025495,0.01249,0.010826,,-0.242738,,MIXED_OR_WEAK
REGIME:VOLATILE,volume_score,Volume,114,True,11.026316,3.237555,0.0,18.0,0.085116,0.095153,0.04093,,-0.083758,,MIXED_OR_WEAK
REGIME:VOLATILE,structure_score,Structure,114,True,5.719298,2.166365,0.0,10.0,0.025655,0.053529,0.094804,,,,MIXED_OR_WEAK
REGIME:VOLATILE,regime_score,Regime,114,False,-4.0,0.0,-4.0,-4.0,0.0,0.0,0.0,-0.575894,-0.575894,0.0,INACTIVE
REGIME:VOLATILE,risk_penalty,Risk Penalty,114,True,-7.885965,3.478654,-16.0,0.0,-0.170598,-0.123198,-0.204661,,,,MIXED_OR_WEAK
REGIME:VOLATILE,external_context_score,External Context,114,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.575894,-0.575894,0.0,INACTIVE
REGIME:VOLATILE,adaptive_adjustment,Adaptive Adjustment,114,True,-5.789474,1.471803,-7.0,-4.0,-0.101061,-0.080787,-0.123614,-0.250624,-1.056728,-0.806103,HARMFUL_ASSOCIATION
REGIME:VOLATILE,historical_edge_score,Historical Edge,114,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.575894,-0.575894,0.0,INACTIVE
REGIME:QUIET,trend_score,Trend,181,True,24.353591,5.178243,17.0,28.0,0.110289,0.11534,0.066259,-1.256665,-0.526035,0.73063,SUPPORTIVE_ASSOCIATION
REGIME:QUIET,momentum_score,Momentum,181,True,26.823204,2.88676,19.0,30.0,0.038468,0.122487,0.098608,,-0.464181,,MIXED_OR_WEAK
REGIME:QUIET,volume_score,Volume,181,True,5.287293,4.693395,0.0,15.0,-0.080436,-0.104879,-0.031562,-0.522105,-0.971997,-0.449893,HARMFUL_ASSOCIATION
REGIME:QUIET,structure_score,Structure,181,True,4.61326,2.330352,0.0,10.0,-0.140711,-0.172258,-0.116499,,,,MIXED_OR_WEAK
REGIME:QUIET,regime_score,Regime,181,False,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,-0.768233,-0.768233,0.0,INACTIVE
REGIME:QUIET,risk_penalty,Risk Penalty,181,True,-1.149171,2.0342,-9.0,0.0,0.106029,0.145082,0.06493,,-0.603979,,MIXED_OR_WEAK
REGIME:QUIET,external_context_score,External Context,181,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.768233,-0.768233,0.0,INACTIVE
REGIME:QUIET,adaptive_adjustment,Adaptive Adjustment,181,True,-1.337017,1.24475,-2.0,1.0,-0.172022,-0.148533,-0.050116,-0.532321,-1.599824,-1.067503,HARMFUL_ASSOCIATION
REGIME:QUIET,historical_edge_score,Historical Edge,181,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.768233,-0.768233,0.0,INACTIVE
