dimension,value,all_samples,all_win_rate_pct,all_avg_net_pct,all_profit_factor,validation_20_samples,validation_20_win_rate_pct,validation_20_avg_net_pct,validation_20_profit_factor,test_20_samples,test_20_win_rate_pct,test_20_avg_net_pct,test_20_profit_factor,verdict
SYMBOL_TIMEFRAME_REGIME,XRP/USDT|4h|TRENDING_BULL,969,39.01,-0.181831,0.8869,209,39.23,-0.428422,0.7428,165,36.97,-0.891065,0.4943,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,SOL/USDT|4h|QUIET,18,38.89,-0.346147,0.8282,2,0.0,-5.837146,0.0,4,25.0,-0.910571,0.5986,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,DOGE/USDT|4h|UNKNOWN,56,25.0,-1.302527,0.3726,12,16.67,-0.940235,0.4515,23,26.09,-0.958441,0.4011,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,BNB/USDT|4h|SIDEWAYS,136,33.09,-0.672407,0.445,21,28.57,-0.425188,0.6218,22,22.73,-1.004458,0.208,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,ETH/USDT|4h|SIDEWAYS,92,39.13,-0.391297,0.6984,16,50.0,-0.151932,0.8859,25,28.0,-1.036764,0.4133,LOW_TEST_SAMPLE
REGIME,UNKNOWN,357,31.37,-0.960582,0.4246,86,31.4,-0.935939,0.4565,97,23.71,-1.11159,0.2884,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,DOGE/USDT|4h|TRENDING_BULL,957,38.24,-0.281691,0.8541,197,42.13,-0.646262,0.7121,182,32.97,-1.155486,0.453,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,ETH/USDT|4h|UNKNOWN,61,21.31,-1.194829,0.3018,15,20.0,-1.628036,0.1668,14,21.43,-1.220024,0.1487,LOW_TEST_SAMPLE
REGIME,QUIET,181,29.28,-0.768233,0.4998,27,22.22,-0.681457,0.5663,20,30.0,-1.220702,0.3426,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,BNB/USDT|4h|VOLATILE,10,30.0,-0.505655,0.752,1,100.0,5.218228,999.0,1,0.0,-1.41987,0.0,LOW_TEST_SAMPLE
REGIME,VOLATILE,114,37.72,-0.575894,0.7298,14,42.86,-0.914586,0.5989,12,33.33,-1.471729,0.475,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,XRP/USDT|4h|UNKNOWN,54,33.33,-1.032795,0.4214,18,38.89,-1.068787,0.5312,10,20.0,-1.683736,0.107,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,BTC/USDT|4h|UNKNOWN,67,37.31,-0.957493,0.3483,13,69.23,0.380638,1.8615,20,15.0,-1.826811,0.0773,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,SOL/USDT|4h|UNKNOWN,58,43.1,-0.576968,0.677,17,29.41,-0.906359,0.5566,13,23.08,-1.885127,0.0639,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,ETH/USDT|4h|QUIET,40,17.5,-1.392402,0.2254,4,0.0,-2.090275,0.0,5,20.0,-2.248957,0.0958,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,DOGE/USDT|4h|QUIET,26,38.46,-0.312584,0.8043,8,37.5,0.656454,1.4549,1,0.0,-2.731728,0.0,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,BTC/USDT|4h|QUIET,34,29.41,-0.938672,0.3995,4,0.0,-0.839346,0.0,2,0.0,-2.884943,0.0,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,SOL/USDT|4h|VOLATILE,32,37.5,-1.005263,0.6126,2,0.0,-5.266519,0.0,4,25.0,-3.322883,0.3018,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,DOGE/USDT|4h|VOLATILE,35,45.71,-0.131962,0.9387,6,50.0,-1.043824,0.5796,2,0.0,-4.105205,0.0,LOW_TEST_SAMPLE
