primary_event,triple_barrier_label,meta_positive_rate,mean_cost_drag_pct,sample_count,coverage,win_rate,expectancy,median_return,profit_factor,total_return,max_drawdown,average_win,average_loss
BREAKOUT_CONFIRMATION,STOP_LOSS,0.0,0.6665055915038761,645,0.1797157982724993,0.0,-15.953008051787924,-3.7784277186284596,0.0,-10289.69019340321,-10289.690193403216,0.0,-15.953008051787924
BREAKOUT_CONFIRMATION,TAKE_PROFIT,1.0,0.643791854954751,442,0.12315408191696851,1.0,5.642622137542469,1.7747046124538286,inf,2494.0389847937713,0.0,5.642622137542469,0.0
BREAKOUT_CONFIRMATION,TIME_EXIT,0.39720998531571217,0.5976863259911895,1362,0.3794928949568125,0.39720998531571217,-0.46288414390602056,-0.691905,0.734265225516542,-630.448204,-631.9905669999977,3.2200062661737525,-2.889733975639464
EXTREME_MEAN_REVERSION,TAKE_PROFIT,1.0,0.6640629599999999,1,0.00027862914460852607,1.0,1.9578005028621508,1.9578005028621508,inf,1.9578005028621508,0.0,1.9578005028621508,0.0
EXTREME_MEAN_REVERSION,TIME_EXIT,0.3333333333333333,0.5,3,0.0008358874338255781,0.3333333333333333,-0.328287,-0.614616,0.2816833300755323,-0.984861,-1.371068,0.386207,-0.6855340000000001
REGIME_TRANSITION,STOP_LOSS,0.0,0.6182689901190472,84,0.02340484814711619,0.0,-18.273439018909844,-3.324409111051259,0.0,-1534.968877588427,-1534.968877588427,0.0,-18.273439018909844
REGIME_TRANSITION,TAKE_PROFIT,1.0,0.6417350243333335,60,0.016717748676511563,1.0,11.54430315869198,1.627175134163358,inf,692.6581895215188,0.0,11.54430315869198,0.0
REGIME_TRANSITION,TIME_EXIT,0.3712121212121212,0.5732974242424242,264,0.07355809417665088,0.3712121212121212,-0.3571151439393939,-0.742347,0.7236882428149639,-94.278398,-134.80657499999995,2.519638704081632,-2.055439704819277
VOLATILITY_EXPANSION,STOP_LOSS,0.0,0.7308579175776398,161,0.0448592922819727,0.0,-16.181362485954516,-4.4905510790897445,0.0,-2605.199360238677,-2605.199360238676,0.0,-16.181362485954516
VOLATILITY_EXPANSION,TAKE_PROFIT,1.0,0.7062032612698413,126,0.03510727222067428,1.0,9.651038085697936,2.4964120799356837,inf,1216.03079879794,0.0,9.651038085697936,0.0
VOLATILITY_EXPANSION,TIME_EXIT,0.3469387755102041,0.6638494761904763,441,0.12287545277235999,0.3469387755102041,-0.8678762426303855,-1.152521,0.5810843652817009,-382.733423,-415.4766879999996,3.469904960784314,-3.172322506944445
