window,regime,sample_count,win_count,loss_count,win_rate,expectancy,median_return,profit_factor,total_return,max_drawdown,positive_windows,total_windows
3Y,UNKNOWN,7138,2801,4337,0.3924068366489213,-0.4586922836929112,-0.6526055,0.6880208549227335,-3274.1455210000004,-3374.8889689999965,,
5Y,UNKNOWN,11217,4286,6931,0.3820986003387715,-0.5209098253543728,-0.732211,0.6744259405926929,-5843.045511,-5922.8969729999935,,
ALL_WINDOWS,UNKNOWN,18355,7087,11268,0.3872527184938464,-0.489801054523642,-0.69240825,0.6812233977577131,-9117.191032,-5922.8969729999935,0.0,2.0
