gate,family,signals,evaluated,avg_return_pct,win_rate,dominant_regime,regime_count
STRUCTURE_SCORE_GE_10,review_backtest_candidate,29,28,0.3055,67.86,UNKNOWN,15
HISTORICAL_EDGE_SCORE_GE_1,primary_backtest_candidate,8,8,-1.2246,12.5,TRENDING_BULL,8
RISK_MEDIUM,primary_backtest_candidate,1,1,0.5361,100.0,TRENDING_BULL,1
SCORE_GE_80,small_sample_positive,1,1,-0.1356,0.0,UNKNOWN,1
