gate,family,signals,evaluated,avg_return_pct,win_rate,dominant_regime,regime_count
STRUCTURE_SCORE_GE_10,review_backtest_candidate,14,14,0.8834,100.0,TRENDING_BULL,14
HISTORICAL_EDGE_SCORE_GE_1,primary_backtest_candidate,6,3,-2.1435,0.0,TRENDING_BULL,6
RISK_MEDIUM,primary_backtest_candidate,1,0,0.0,0.0,TRENDING_BULL,1
