metric,count,min,p10,p25,median,p75,p90,max
target_distance_pct,1606,0.49235461353414056,1.5832644164628484,2.02807565934624,2.6091057107850646,3.691913308056577,6.276798321535193,99.7991325034995
stop_distance_pct,1606,0.7330338141404491,1.9326502389252598,2.442761412760702,3.180483529941669,4.925104767411115,91.50979156296142,99.89232801827953
event_execution_cost_pct,3589,0.5,0.515834754,0.55298148,0.60637424,0.66851056,0.7661068620000001,1.4
gross_target_to_cost,1606,0.9847092270682811,2.8171919782172936,3.3732889602325535,3.9887811651058005,5.0075109324503755,8.143736336498595,197.2610338147468
net_reward_risk,1606,-7.992316748329859e-05,0.03082493061699963,0.41807619585304595,0.5059113663543479,0.5677139040535852,0.6619160534498928,76.80228209799657
