source,run_id,decision_id,candle_timestamp,symbol,timeframe,provider,side,score,confidence_label,risk_label,actionability,is_actionable,entry_price,entry_zone,stop_zone,targets,regime_label,regime_confidence,long_score,short_score,trend_score,momentum_score,volume_score,structure_score,risk_penalty,historical_edge_score,available_future_candles,evaluation_status,target_1_hit,target_2_hit,target_3_hit,stop_hit,mfe_pct,mae_pct,evaluated_candles,return_after_4h_pct,return_after_12h_pct,return_after_24h_pct
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_120,2026-06-13 00:00:00,BTC/USDT,4h,kucoin,LONG,51,Low,Medium,NOT_ACTIONABLE,False,63534.7,"63,312 - 63,669","62,464","[""64,427"", ""65,141"", ""65,855""]",TRENDING_BULL,100,51,0,28,17,0,6,-9,7,146,COMPLETE,True,False,False,False,1.949,-0.0707,6,0.4912,1.2113,1.5919
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_132,2026-06-15 00:00:00,BTC/USDT,4h,kucoin,LONG,76,Medium-High,Low,WATCHLIST,False,65926.3,"65,740 - 66,038","65,031","[""66,672"", ""67,269"", ""67,865""]",TRENDING_BULL,100,76,0,28,22,0,10,-4,12,134,COMPLETE,True,True,False,False,2.0813,-0.626,6,-0.3756,2.0778,0.3539
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_144,2026-06-17 00:00:00,BTC/USDT,4h,kucoin,NEUTRAL,19,Low,Medium,MONITOR_ONLY,False,65850.1,نامشخص,نامشخص,[],TRENDING_BEAR,37,6,19,6,12,0,6,-7,0,122,COMPLETE,False,False,False,False,0.8901,-2.9268,6,-0.4655,-0.1462,-2.3739
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_156,2026-06-19 00:00:00,BTC/USDT,4h,kucoin,NEUTRAL,45,Low,Low,MONITOR_ONLY,False,62774.9,نامشخص,نامشخص,[],TRENDING_BEAR,75,0,45,28,22,0,6,-4,-11,110,COMPLETE,False,False,False,False,1.601,-0.7399,6,-0.2374,0.7036,1.1239
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_168,2026-06-21 00:00:00,BTC/USDT,4h,kucoin,LONG,50,Low,Low,NOT_ACTIONABLE,False,64423.8,"64,247 - 64,530","63,577","[""65,129"", ""65,693"", ""66,258""]",UNKNOWN,25,50,0,17,26,0,7,0,0,98,COMPLETE,False,False,False,True,0.6051,-1.786,6,-0.3553,-0.3163,-0.7027
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_180,2026-06-23 00:00:00,BTC/USDT,4h,kucoin,NEUTRAL,13,Low,Low,MONITOR_ONLY,False,64067.0,نامشخص,نامشخص,[],SIDEWAYS,37,13,4,11,13,0,3,-4,0,86,COMPLETE,False,False,False,False,0.0428,-3.3304,6,-1.8568,-2.4621,-2.0941
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_192,2026-06-25 00:00:00,BTC/USDT,4h,kucoin,NEUTRAL,45,Low,Low,MONITOR_ONLY,False,60881.6,نامشخص,نامشخص,[],TRENDING_BEAR,100,0,45,28,20,0,6,0,-11,74,COMPLETE,False,False,False,False,1.7652,-4.5344,6,1.6864,-2.1803,-1.3805
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_204,2026-06-27 00:00:00,BTC/USDT,4h,kucoin,NEUTRAL,16,Low,Low,MONITOR_ONLY,False,60309.7,نامشخص,نامشخص,[],VOLATILE,75,16,9,6,17,0,3,-2,0,62,COMPLETE,False,False,False,False,1.0453,-0.7486,6,0.3968,0.8849,-0.1786
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_216,2026-06-29 00:00:00,BTC/USDT,4h,kucoin,NEUTRAL,30,Low,Medium,MONITOR_ONLY,False,60047.2,نامشخص,نامشخص,[],TRENDING_BEAR,62,14,30,22,8,0,5,-7,0,50,COMPLETE,False,False,False,False,1.2124,-1.7343,6,-0.0276,-0.3757,-0.699
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_228,2026-07-01 00:00:00,BTC/USDT,4h,kucoin,SHORT,55,Medium,Medium,WATCHLIST,False,59196.3,"59,071 - 59,405","60,196","[""58,363"", ""57,696"", ""57,029""]",TRENDING_BEAR,62,4,55,28,17,9,3,-7,0,38,COMPLETE,True,False,False,True,1.4655,-3.593,6,0.7198,-1.5966,-3.1522
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_240,2026-07-03 00:00:00,BTC/USDT,4h,kucoin,LONG,50,Low,Medium,NOT_ACTIONABLE,False,61432.0,"61,205 - 61,568","60,342","[""62,341"", ""63,067"", ""63,794""]",TRENDING_BULL,75,50,0,28,17,0,6,-7,4,26,COMPLETE,True,False,False,False,2.4873,-0.1633,6,0.5303,0.8054,1.943
BACKTEST,backtest_20260707_115523,backtest_20260707_115523_BTCUSDT_252,2026-07-05 00:00:00,BTC/USDT,4h,kucoin,LONG,56,Medium,Low,WATCHLIST,False,62769.1,"62,596 - 62,873","61,936","[""63,463"", ""64,019"", ""64,574""]",TRENDING_BULL,100,56,0,28,17,0,6,-5,8,14,COMPLETE,True,False,False,False,1.9502,-0.5289,6,0.3937,-0.0513,0.844
