gate,family,description,verdict,live_safe,samples,rows,sample_share_pct,avg_return_pct,median_return_pct,win_rate,target_1_hit_rate,stop_hit_rate,mfe_mean_pct,mae_mean_pct,mfe_mae_ratio,best_return_pct,worst_return_pct,avg_4h_return_pct,avg_12h_return_pct,avg_24h_return_pct,research_score,warnings,filters
VOLUME_SCORE_GE_10,component,volume_score >= 10.,RESEARCH_CANDIDATE,True,34,34,11.53,0.7131,1.1114,64.71,76.47,44.12,2.7339,-2.0804,1.314,4.6531,-5.0698,-0.2745,-0.3442,0.7131,1.2887,[],"{""volume_score_min"": 10}"
RISK_MEDIUM,risk,فقط risk_label=Medium.,RESEARCH_CANDIDATE,True,76,76,25.76,0.2106,0.1673,51.32,53.95,42.11,2.201,-2.1233,1.037,9.0062,-10.3172,-0.32,-0.3908,0.2106,0.3525,[],"{""risk_in"": [""Medium""]}"
HISTORICAL_EDGE_SCORE_GE_1,component,historical_edge_score >= 1.,RESEARCH_CANDIDATE,True,40,40,13.56,0.1026,0.3952,57.5,47.5,35.0,1.6298,-1.5296,1.066,5.98,-5.1034,-0.1534,-0.1345,0.1026,0.3467,[],"{""historical_edge_score_min"": 1}"
STRUCTURE_SCORE_GE_10,component,structure_score >= 10.,POSITIVE_BUT_NEEDS_REVIEW,True,86,86,29.15,0.266,0.1673,52.33,53.49,44.19,2.0978,-2.1147,0.992,5.6706,-5.0698,-0.3977,-0.524,0.266,0.3931,"[""مثبت است اما همه معیارهای کیفیت کامل نیستند.""]","{""structure_score_min"": 10}"
SYMBOL_SIDE_SCORE_GE_60_BNBUSDT_LONG,symbol_side_score,BNB/USDT + LONG + score >= 60.,SMALL_SAMPLE_POSITIVE,True,11,11,3.73,0.5033,0.7693,72.73,72.73,54.55,2.1094,-1.5351,1.374,2.9778,-3.3654,0.1679,-0.4339,0.5033,0.8649,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""symbol_in"": [""BNB/USDT""], ""side_in"": [""LONG""], ""score_min"": 60}"
SCORE_BUCKET_80_89,score_bucket,score 80-89,SMALL_SAMPLE_POSITIVE,True,19,19,6.44,0.3758,1.0517,57.89,63.16,47.37,2.1026,-2.0101,1.046,4.6531,-3.94,-0.2592,-0.5082,0.3758,0.5799,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""score_min"": 80, ""score_max"": 89}"
SCORE_GE_80,score,score >= 80,SMALL_SAMPLE_POSITIVE,True,20,20,6.78,0.3797,0.9105,60.0,60.0,50.0,2.0254,-2.0227,1.001,4.6531,-3.94,-0.2594,-0.5021,0.3797,0.5601,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""score_min"": 80}"
QUALITY_CORE_SCORE80_WATCH_OR_ACTIONABLE,composite,WATCHLIST/ACTIONABLE + score>=80.,SMALL_SAMPLE_POSITIVE,True,20,20,6.78,0.3797,0.9105,60.0,60.0,50.0,2.0254,-2.0227,1.001,4.6531,-3.94,-0.2594,-0.5021,0.3797,0.5601,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""actionability_in"": [""WATCHLIST"", ""ACTIONABLE"", ""HIGH_ACTIONABILITY""], ""score_min"": 80}"
SYMBOL_SIDE_DOGEUSDT_SHORT,symbol_side,DOGE/USDT فقط SHORT.,SMALL_SAMPLE_POSITIVE,True,25,25,8.47,0.2309,-0.5225,40.0,52.0,32.0,2.6864,-2.2261,1.207,9.0062,-4.8751,0.039,0.0177,0.2309,0.2815,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""symbol_in"": [""DOGE/USDT""], ""side_in"": [""SHORT""]}"
ACTIONABLE_SCORE_GE_80,actionability_score,ACTIONABLE + score >= 80.,SMALL_SAMPLE_POSITIVE,True,18,18,6.1,0.2069,0.6111,55.56,55.56,55.56,1.9623,-2.2019,0.891,4.6531,-3.94,-0.3042,-0.5732,0.2069,0.2328,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""], ""score_min"": 80}"
SCORE_GE_80_LONG,score_side,score >= 80 + LONG.,SMALL_SAMPLE_POSITIVE,True,16,16,5.42,0.1384,0.6111,56.25,56.25,56.25,1.8005,-2.023,0.89,4.6531,-3.94,-0.1488,-0.4927,0.1384,0.1838,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""score_min"": 80, ""side_in"": [""LONG""]}"
SYMBOL_SIDE_SCORE_GE_60_XRPUSDT_SHORT,symbol_side_score,XRP/USDT + SHORT + score >= 60.,SMALL_SAMPLE_POSITIVE,True,15,15,5.08,0.013,-0.3861,46.67,66.67,46.67,2.2003,-2.0223,1.088,3.1476,-3.613,-0.3156,-0.2994,0.013,0.168,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""symbol_in"": [""XRP/USDT""], ""side_in"": [""SHORT""], ""score_min"": 60}"
SYMBOL_SIDE_SCORE_GE_60_DOGEUSDT_SHORT,symbol_side_score,DOGE/USDT + SHORT + score >= 60.,SMALL_SAMPLE_POSITIVE,True,12,12,4.07,0.1437,-0.7664,41.67,50.0,33.33,2.4333,-2.3617,1.03,5.1951,-4.8751,0.1571,0.0431,0.1437,0.1356,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""symbol_in"": [""DOGE/USDT""], ""side_in"": [""SHORT""], ""score_min"": 60}"
ACTIONABLE_SCORE_GE_80_LONG,actionability_score_side,ACTIONABLE + score >= 80 + LONG.,SMALL_SAMPLE_POSITIVE,True,15,15,5.08,0.031,0.453,53.33,53.33,60.0,1.7859,-2.1556,0.828,4.6531,-3.94,-0.1992,-0.5645,0.031,-0.012,"[""مثبت است ولی sample کمتر از حداقل 30 است."", ""Stop rate از Target hit بیشتر است؛ ریسک بالاست.""]","{""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""], ""score_min"": 80, ""side_in"": [""LONG""]}"
SYMBOL_SIDE_SCORE_GE_60_BNBUSDT_SHORT,symbol_side_score,BNB/USDT + SHORT + score >= 60.,SMALL_SAMPLE_POSITIVE,True,11,11,3.73,0.0706,-0.171,45.45,45.45,54.55,1.9282,-1.7658,1.092,3.3114,-2.8205,-0.1935,-0.0022,0.0706,-0.1073,"[""مثبت است ولی sample کمتر از حداقل 30 است."", ""Stop rate از Target hit بیشتر است؛ ریسک بالاست.""]","{""symbol_in"": [""BNB/USDT""], ""side_in"": [""SHORT""], ""score_min"": 60}"
SYMBOL_SIDE_BNBUSDT_LONG,symbol_side,BNB/USDT فقط LONG.,NEAR_BREAKEVEN_WATCH,True,30,30,10.17,-0.0784,0.2327,53.33,56.67,50.0,1.6431,-1.6906,0.972,2.9778,-3.3654,-0.0022,-0.3255,-0.0784,0.0354,"[""تقریباً نزدیک صفر است؛ شاید با خروج/stop بهتر قابل تحقیق باشد.""]","{""symbol_in"": [""BNB/USDT""], ""side_in"": [""LONG""]}"
SYMBOL_WATCH_OR_ACTIONABLE_BNBUSDT,symbol_actionability,BNB/USDT + WATCHLIST/ACTIONABLE.,NEAR_BREAKEVEN_WATCH,True,36,36,12.2,-0.063,0.0539,50.0,52.78,52.78,1.7171,-1.7145,1.001,3.3114,-3.3654,-0.0496,-0.257,-0.063,-0.0629,"[""تقریباً نزدیک صفر است؛ شاید با خروج/stop بهتر قابل تحقیق باشد.""]","{""symbol_in"": [""BNB/USDT""], ""actionability_in"": [""WATCHLIST"", ""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SCORE_BUCKET_60_69,score_bucket,score 60-69,NEAR_BREAKEVEN_WATCH,True,90,90,30.51,-0.0554,-0.1521,47.78,47.78,47.78,2.0368,-2.1567,0.944,5.6706,-5.2498,-0.1105,-0.3578,-0.0554,-0.0943,"[""تقریباً نزدیک صفر است؛ شاید با خروج/stop بهتر قابل تحقیق باشد.""]","{""score_min"": 60, ""score_max"": 69}"
SCORE_GE_60_LONG,score_side,score >= 60 + LONG.,REJECT_NEGATIVE_EDGE,True,83,83,28.14,-0.1223,0.1781,55.42,48.19,48.19,1.7376,-2.1403,0.812,5.4035,-6.4619,-0.2753,-0.5339,-0.1223,-0.0598,"[""میانگین بازده منفی است.""]","{""score_min"": 60, ""side_in"": [""LONG""]}"
LONG_SCORE_GE_60,component,long_score >= 60.,REJECT_NEGATIVE_EDGE,True,83,83,28.14,-0.1223,0.1781,55.42,48.19,48.19,1.7376,-2.1403,0.812,5.4035,-6.4619,-0.2753,-0.5339,-0.1223,-0.0598,"[""میانگین بازده منفی است.""]","{""long_score_min"": 60}"
SYMBOL_SIDE_BTCUSDT_LONG,symbol_side,BTC/USDT فقط LONG.,REJECT_NEGATIVE_EDGE,True,36,36,12.2,-0.1739,0.3577,55.56,44.44,41.67,1.2707,-1.5117,0.841,2.7195,-3.5171,-0.1184,-0.1173,-0.1739,-0.0787,"[""میانگین بازده منفی است.""]","{""symbol_in"": [""BTC/USDT""], ""side_in"": [""LONG""]}"
STRUCTURE_SCORE_GE_5,component,structure_score >= 5.,REJECT_NEGATIVE_EDGE,True,240,240,81.36,-0.1027,-0.1562,47.5,48.75,46.67,1.9543,-2.1468,0.91,9.0062,-10.3172,-0.2236,-0.4106,-0.1027,-0.1284,"[""میانگین بازده منفی است.""]","{""structure_score_min"": 5}"
HISTORICAL_EDGE_SCORE_GE_5,component,historical_edge_score >= 5.,REJECT_NEGATIVE_EDGE,True,30,30,10.17,-0.1957,0.2496,53.33,40.0,36.67,1.2445,-1.5062,0.826,2.7195,-3.3236,-0.1585,-0.1361,-0.1957,-0.1299,"[""میانگین بازده منفی است.""]","{""historical_edge_score_min"": 5}"
ACTIONABLE_LONG,actionability_side,ACTIONABLE فقط سمت LONG.,REJECT_NEGATIVE_EDGE,True,30,30,10.17,-0.0682,0.2951,53.33,50.0,60.0,1.8006,-2.4222,0.743,5.4035,-5.0698,-0.4473,-0.7613,-0.0682,-0.144,"[""میانگین بازده منفی است.""]","{""side_in"": [""LONG""], ""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
ACTIONABLE_SCORE_GE_50_LONG,actionability_score_side,ACTIONABLE + score >= 50 + LONG.,REJECT_NEGATIVE_EDGE,True,30,30,10.17,-0.0682,0.2951,53.33,50.0,60.0,1.8006,-2.4222,0.743,5.4035,-5.0698,-0.4473,-0.7613,-0.0682,-0.144,"[""میانگین بازده منفی است.""]","{""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""], ""score_min"": 50, ""side_in"": [""LONG""]}"
ACTIONABLE_SCORE_GE_60_LONG,actionability_score_side,ACTIONABLE + score >= 60 + LONG.,REJECT_NEGATIVE_EDGE,True,30,30,10.17,-0.0682,0.2951,53.33,50.0,60.0,1.8006,-2.4222,0.743,5.4035,-5.0698,-0.4473,-0.7613,-0.0682,-0.144,"[""میانگین بازده منفی است.""]","{""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""], ""score_min"": 60, ""side_in"": [""LONG""]}"
