gate,family,description,verdict,live_safe,samples,rows,sample_share_pct,avg_return_pct,median_return_pct,win_rate,target_1_hit_rate,stop_hit_rate,mfe_mean_pct,mae_mean_pct,mfe_mae_ratio,best_return_pct,worst_return_pct,avg_4h_return_pct,avg_12h_return_pct,avg_24h_return_pct,research_score,warnings,filters
SYMBOL_SIDE_ACTIONABLE_BTCUSDT_SHORT,symbol_side_actionability,BTC/USDT + SHORT + ACTIONABLE.,REJECT_TOO_SMALL,True,2,2,0.68,0.0556,0.0556,50.0,0.0,100.0,0.6015,-2.238,0.269,0.4043,-0.2931,0.0556,-0.4737,-1.6864,-1.0587,"[""sample بسیار کم است: 2""]","{""symbol_in"": [""BTC/USDT""], ""side_in"": [""SHORT""], ""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SYMBOL_ACTIONABLE_SOLUSDT,symbol_actionability,SOL/USDT + ACTIONABLE.,REJECT_TOO_SMALL,True,8,8,2.71,-0.6543,-0.6699,12.5,37.5,62.5,1.6163,-2.6592,0.608,0.0716,-1.2905,-0.6543,-0.8879,-0.4213,-1.1896,"[""sample بسیار کم است: 8""]","{""symbol_in"": [""SOL/USDT""], ""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SYMBOL_SIDE_SCORE_GE_80_BTCUSDT_LONG,symbol_side_score,BTC/USDT + LONG + score >= 80.,REJECT_TOO_SMALL,True,5,5,1.69,-0.1777,-0.2628,20.0,20.0,80.0,0.6001,-2.3296,0.258,0.6072,-0.8639,-0.1777,-0.853,-1.0161,-1.1967,"[""sample بسیار کم است: 5""]","{""symbol_in"": [""BTC/USDT""], ""side_in"": [""LONG""], ""score_min"": 80}"
SYMBOL_SIDE_SCORE_GE_60_BTCUSDT_SHORT,symbol_side_score,BTC/USDT + SHORT + score >= 60.,REJECT_TOO_SMALL,True,9,9,3.05,-0.5263,-0.3192,22.22,22.22,66.67,1.3389,-2.7013,0.496,0.6816,-1.8426,-0.5263,-1.2874,-1.1671,-1.1999,"[""sample بسیار کم است: 9""]","{""symbol_in"": [""BTC/USDT""], ""side_in"": [""SHORT""], ""score_min"": 60}"
SYMBOL_SIDE_ACTIONABLE_SOLUSDT_LONG,symbol_side_actionability,SOL/USDT + LONG + ACTIONABLE.,REJECT_TOO_SMALL,True,6,6,2.03,-0.712,-0.6699,0.0,50.0,66.67,1.9459,-2.9698,0.655,-0.2197,-1.2905,-0.712,-0.8671,-0.3615,-1.2696,"[""sample بسیار کم است: 6""]","{""symbol_in"": [""SOL/USDT""], ""side_in"": [""LONG""], ""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SYMBOL_SIDE_ACTIONABLE_ETHUSDT_SHORT,symbol_side_actionability,ETH/USDT + SHORT + ACTIONABLE.,REJECT_TOO_SMALL,True,3,3,1.02,-0.5008,-0.53,0.0,33.33,66.67,1.8321,-3.2316,0.567,-0.1092,-0.8632,-0.5008,-0.4235,-1.1287,-1.2851,"[""sample بسیار کم است: 3""]","{""symbol_in"": [""ETH/USDT""], ""side_in"": [""SHORT""], ""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
RISK_HIGH,risk,فقط risk_label=High.,REJECT_TOO_SMALL,True,8,8,2.71,-1.4192,-1.0515,0.0,50.0,37.5,2.7212,-3.5938,0.757,-0.3153,-2.9412,-1.4192,-1.5945,-0.4264,-1.3822,"[""sample بسیار کم است: 8""]","{""risk_in"": [""High""]}"
SYMBOL_SIDE_ACTIONABLE_DOGEUSDT_LONG,symbol_side_actionability,DOGE/USDT + LONG + ACTIONABLE.,REJECT_TOO_SMALL,True,7,7,2.37,-1.0151,-1.2289,0.0,42.86,57.14,2.1022,-2.7917,0.753,-0.1811,-1.7141,-1.0151,-1.0502,0.0017,-1.4078,"[""sample بسیار کم است: 7""]","{""symbol_in"": [""DOGE/USDT""], ""side_in"": [""LONG""], ""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SYMBOL_ACTIONABLE_BTCUSDT,symbol_actionability,BTC/USDT + ACTIONABLE.,REJECT_TOO_SMALL,True,7,7,2.37,-0.2325,-0.2628,14.29,14.29,85.71,0.609,-2.3515,0.259,0.4043,-0.8639,-0.2325,-0.6824,-1.1805,-1.4363,"[""sample بسیار کم است: 7""]","{""symbol_in"": [""BTC/USDT""], ""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SYMBOL_SIDE_SCORE_GE_60_XRPUSDT_LONG,symbol_side_score,XRP/USDT + LONG + score >= 60.,REJECT_TOO_SMALL,True,9,9,3.05,-0.6611,-0.548,0.0,33.33,66.67,1.8289,-2.7252,0.671,-0.2493,-1.1899,-0.6611,-1.2103,-0.0458,-1.4784,"[""sample بسیار کم است: 9""]","{""symbol_in"": [""XRP/USDT""], ""side_in"": [""LONG""], ""score_min"": 60}"
SYMBOL_SIDE_ACTIONABLE_BTCUSDT_LONG,symbol_side_actionability,BTC/USDT + LONG + ACTIONABLE.,REJECT_TOO_SMALL,True,5,5,1.69,-0.3477,-0.2628,0.0,20.0,80.0,0.612,-2.3969,0.255,-0.0973,-0.8639,-0.3477,-0.7659,-0.9782,-1.5664,"[""sample بسیار کم است: 5""]","{""symbol_in"": [""BTC/USDT""], ""side_in"": [""LONG""], ""actionability_in"": [""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SCORE_BUCKET_90_PLUS,score_bucket,score >= 90,REJECT_TOO_SMALL,True,1,1,0.34,-0.2628,-0.2628,0.0,0.0,100.0,0.5583,-2.2619,0.247,-0.2628,-0.2628,-0.2628,-0.3876,0.453,-1.8733,"[""sample بسیار کم است: 1""]","{""score_min"": 90}"
SYMBOL_SIDE_SCORE_GE_80_SOLUSDT_LONG,symbol_side_score,SOL/USDT + LONG + score >= 80.,REJECT_TOO_SMALL,True,1,1,0.34,-0.5464,-0.5464,0.0,0.0,100.0,0.1025,-4.3716,0.023,-0.5464,-0.5464,-0.5464,-0.9791,-3.7227,-1.9475,"[""sample بسیار کم است: 1""]","{""symbol_in"": [""SOL/USDT""], ""side_in"": [""LONG""], ""score_min"": 80}"
