cause,description,direction,evidence_score,probability_pct,evidence_count,official_evidence_count,strongest_source,verdict,evidence
LIQUIDITY_VOLUME_FLOW,جریان حجم/نقدینگی، جهش volume، TVL/stablecoin/liquidity یا فشار flow.,BEARISH,24.21,32.58,2,0,decision_engine_volume,SUPPORTING_CAUSE,"[{'cause': 'LIQUIDITY_VOLUME_FLOW', 'source': 'decision_engine_volume', 'direction': 'BEARISH', 'weight': 15.0, 'quality': 'MEDIUM', 'title': 'Volume/flow evidence from Decision Engine', 'note': 'volume_score=64727.0; side=SHORT; regime=UNKNOWN', 'timestamp_utc': '', 'source_url': ''}, {'cause': 'LIQUIDITY_VOLUME_FLOW', 'source': 'causal_intelligence', 'direction': 'NEUTRAL', 'weight': 9.21, 'quality': 'MEDIUM', 'title': 'Causal context: STRUCTURE_BREAKOUT_WEAK_VOLUME_CONFIRMATION', 'note': 'verdict=CAUSAL_HYPOTHESIS_WEAK_EVIDENCE; catalyst=69.0', 'timestamp_utc': '', 'source_url': ''}]"
TECHNICAL_STRUCTURE_MOMENTUM,علت درون‌بازاری از ساختار، trend، momentum یا شکست تکنیکال.,BEARISH,18.0,24.22,1,0,decision_engine_features,WEAK_SUPPORTING_CAUSE,"[{'cause': 'TECHNICAL_STRUCTURE_MOMENTUM', 'source': 'decision_engine_features', 'direction': 'BEARISH', 'weight': 18.0, 'quality': 'MEDIUM', 'title': 'Decision Engine structure/trend/momentum evidence', 'note': 'trend=0.0; momentum=0.0; structure=17.0; score=62.0; regime=UNKNOWN', 'timestamp_utc': '', 'source_url': ''}]"
EXCHANGE_MARKET_ACCESS,رویدادهای exchange، listing، derivatives، product launch یا market access مربوط به صرافی‌ها.,MIXED_OR_NEUTRAL,9.775,13.16,1,1,sec_press_releases,WEAK_SUPPORTING_CAUSE,"[{'cause': 'EXCHANGE_MARKET_ACCESS', 'source': 'sec_press_releases', 'direction': 'NEUTRAL', 'weight': 9.775, 'quality': 'HIGH', 'title': 'Small Business Forum’s Report to Congress Highlights Recommendations to Improve Capital-Raising Policy', 'note': 'event_type=regulatory; tier=TIER_1_OFFICIAL_REGULATOR; impact=HIGH', 'timestamp_utc': '2026-07-27T19:59:17+00:00', 'source_url': 'https://www.sec.gov/newsroom/press-releases/2026-70-small-business-forums-report-congress-highlights-recommendations-improve-capital-raising-policy'}]"
REGULATORY_ACCESS_OR_MODERNIZATION,رویدادهای مثبت/خنثی درباره market access، ETF، IPO modernization یا دسترسی عمومی.,BULLISH,9.035,12.16,1,1,sec_press_releases,WEAK_SUPPORTING_CAUSE,"[{'cause': 'REGULATORY_ACCESS_OR_MODERNIZATION', 'source': 'sec_press_releases', 'direction': 'BULLISH', 'weight': 9.035, 'quality': 'HIGH', 'title': 'SEC Announces Roundtable on Preparations for 24-Hour Trading', 'note': 'event_type=regulatory; tier=TIER_1_OFFICIAL_REGULATOR; impact=HIGH', 'timestamp_utc': '2026-07-23T15:04:00+00:00', 'source_url': 'https://www.sec.gov/newsroom/press-releases/2026-69-sec-announces-roundtable-preparations-24-hour-trading'}]"
REGULATORY_RISK,فشار نظارتی، enforcement، fraud، litigation یا headlineهای ریسک‌زای قانون‌گذاری.,MIXED_OR_NEUTRAL,7.5912,10.22,1,0,market_narrative,WEAK_SUPPORTING_CAUSE,"[{'cause': 'REGULATORY_RISK', 'source': 'market_narrative', 'direction': 'MIXED_OR_NEUTRAL', 'weight': 7.5912, 'quality': 'MEDIUM', 'title': 'Market narrative theme: REGULATORY_RISK', 'note': 'label=MIXED_NARRATIVE_CONFLICT; score=1.6892; confidence=LOW; risk=HIGH', 'timestamp_utc': '', 'source_url': ''}]"
MIXED_EVENT_CONFLICT,چند علت متضاد همزمان دیده شده و علت غالب هنوز قطعی نیست.,MIXED_OR_NEUTRAL,5.6934,7.66,1,0,market_narrative,WEAK_SUPPORTING_CAUSE,"[{'cause': 'MIXED_EVENT_CONFLICT', 'source': 'market_narrative', 'direction': 'NEUTRAL', 'weight': 5.6934, 'quality': 'MEDIUM', 'title': 'Narrative has mixed/conflicting drivers', 'note': 'label=MIXED_NARRATIVE_CONFLICT; theme=REGULATORY_RISK', 'timestamp_utc': '', 'source_url': ''}]"
