cause,description,direction,evidence_score,probability_pct,evidence_count,official_evidence_count,strongest_source,verdict,evidence
LIQUIDITY_VOLUME_FLOW,جریان حجم/نقدینگی، جهش volume، TVL/stablecoin/liquidity یا فشار flow.,BEARISH,25.96,34.7,2,0,decision_engine_volume,SUPPORTING_CAUSE,"[{'cause': 'LIQUIDITY_VOLUME_FLOW', 'source': 'decision_engine_volume', 'direction': 'BEARISH', 'weight': 15.0, 'quality': 'MEDIUM', 'title': 'Volume/flow evidence from Decision Engine', 'note': 'volume_score=65542.0; side=SHORT; regime=0', 'timestamp_utc': '', 'source_url': ''}, {'cause': 'LIQUIDITY_VOLUME_FLOW', 'source': 'causal_intelligence', 'direction': 'NEUTRAL', 'weight': 10.96, 'quality': 'MEDIUM', 'title': 'Causal context: STRUCTURE_BREAKOUT_WEAK_VOLUME_CONFIRMATION', 'note': 'verdict=CAUSAL_CONTEXT_NEUTRAL; catalyst=58.0', 'timestamp_utc': '', 'source_url': ''}]"
TECHNICAL_STRUCTURE_MOMENTUM,علت درون‌بازاری از ساختار، trend، momentum یا شکست تکنیکال.,BEARISH,18.0,24.06,1,0,decision_engine_features,WEAK_SUPPORTING_CAUSE,"[{'cause': 'TECHNICAL_STRUCTURE_MOMENTUM', 'source': 'decision_engine_features', 'direction': 'BEARISH', 'weight': 18.0, 'quality': 'MEDIUM', 'title': 'Decision Engine structure/trend/momentum evidence', 'note': 'trend=0.0; momentum=0.0; structure=17.0; score=54.0; regime=0', 'timestamp_utc': '', 'source_url': ''}]"
REGULATORY_RISK,فشار نظارتی، enforcement، fraud، litigation یا headlineهای ریسک‌زای قانون‌گذاری.,BEARISH,16.9623,22.67,2,1,sec_press_releases,WEAK_SUPPORTING_CAUSE,"[{'cause': 'REGULATORY_RISK', 'source': 'sec_press_releases', 'direction': 'BEARISH', 'weight': 9.775, 'quality': 'HIGH', 'title': 'SEC Announces Departure of Principal Deputy Director of Enforcement Sam Waldon', 'note': 'event_type=regulatory; tier=TIER_1_OFFICIAL_REGULATOR; impact=HIGH', 'timestamp_utc': '2026-07-22T13:45:25+00:00', 'source_url': 'https://www.sec.gov/newsroom/press-releases/2026-68-sec-announces-departure-principal-deputy-director-enforcement-sam-waldon'}, {'cause': 'REGULATORY_RISK', 'source': 'market_narrative', 'direction': 'MIXED_OR_NEUTRAL', 'weight': 7.1873, 'quality': 'MEDIUM', 'title': 'Market narrative theme: REGULATORY_RISK', 'note': 'label=EVENT_CONTEXT_DOMINANT; score=0.5351; confidence=LOW; risk=HIGH', 'timestamp_utc': '', 'source_url': ''}]"
REGULATORY_ACCESS_OR_MODERNIZATION,رویدادهای مثبت/خنثی درباره market access، ETF، IPO modernization یا دسترسی عمومی.,BULLISH,13.9,18.58,1,1,sec_press_releases,WEAK_SUPPORTING_CAUSE,"[{'cause': 'REGULATORY_ACCESS_OR_MODERNIZATION', 'source': 'sec_press_releases', 'direction': 'BULLISH', 'weight': 13.9, 'quality': 'HIGH', 'title': 'SEC Announces Roundtable on Preparations for 24-Hour Trading', 'note': 'event_type=regulatory; tier=TIER_1_OFFICIAL_REGULATOR; impact=HIGH', 'timestamp_utc': '2026-07-23T15:04:00+00:00', 'source_url': 'https://www.sec.gov/newsroom/press-releases/2026-69-sec-announces-roundtable-preparations-24-hour-trading'}]"
