decision_id,candle_timestamp,symbol,timeframe,side,root_cause_primary,root_cause_direction,root_cause_probability_pct,root_cause_confidence,root_cause_evidence_quality,root_cause_verdict,evaluation_status,return_after_4h_pct,return_after_12h_pct,return_after_24h_pct,signed_return_after_4h_pct,signed_return_after_12h_pct,signed_return_after_24h_pct,direction_correct_4h,direction_correct_12h,direction_correct_24h
8782f6983beb22b1,2026-07-10 08:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,47.74,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.6103,-0.409,-0.3281,0.6103,0.409,0.3281,True,True,True
503dadce97c9976f,2026-07-10 16:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,46.18,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,PARTIAL,0.3364,0.3387,,-0.3364,-0.3387,,False,False,
b02ae7fe2b105ae9,2026-07-10 20:00:00,BTC/USDT,4h,NEUTRAL,MACRO_POLICY_PRESSURE,BEARISH,46.07,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,PARTIAL,-0.0567,0.033,,0.0567,-0.033,,True,False,
3a81916cf067dc15,2026-07-11 04:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,45.59,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,PARTIAL,-0.0111,,,0.0111,,,True,,
00f41894c0e1eb8c,2026-07-11 08:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,44.99,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,PARTIAL,0.361,,,-0.361,,,False,,
