root_cause_primary,root_cause_direction,decision_rows,evaluated_cells,samples_4h,hit_rate_4h,avg_signed_return_4h_pct,samples_12h,hit_rate_12h,avg_signed_return_12h_pct,samples_24h,hit_rate_24h,avg_signed_return_24h_pct,avg_probability_pct,evidence_quality_mode,confidence_mode,maturity_level,sample_gap_to_min,sample_gap_to_research,sample_gap_to_candidate,provisional_verdict
MACRO_POLICY_PRESSURE,BEARISH,51,153,51,52.94,-0.0223,51,54.9,-0.0033,51,58.82,-0.0354,55.601,HIGH,MEDIUM,CANDIDATE_SAMPLE_READY,0,0,0,WEAK_OR_NEGATIVE_PROVISIONAL
LIQUIDITY_VOLUME_FLOW,BEARISH,2,4,2,0.0,-0.2842,1,0.0,-0.9957,1,100.0,0.9775,35.36,MEDIUM,LOW,LOW_SAMPLE_ACCUMULATING,6,26,86,LOW_SAMPLE_KEEP_COLLECTING
