regime,side,actionability,samples,target_1_hit_rate,directional_win_rate,avg_24h_return_pct,profit_factor,stop_hit_rate,avg_score,avg_mfe_pct,avg_mae_pct,verdict,notes
TRENDING_BULL,LONG,WATCHLIST,27,100.0,66.67,0.1926,1.5241,88.89,66.1111,4.2349,-2.4996,MIXED_POSITIVE,بازده مثبت است اما کیفیت آماری کامل نیست.
UNKNOWN,NEUTRAL,0,22,0.0,54.55,0.3489,1.6213,0.0,33.9091,2.6749,-1.8633,MIXED_POSITIVE,Regime در لاگ‌های قدیمی ثبت نشده؛ برای تصمیم‌گیری نیاز به داده v4.7 به بعد است. | بازده مثبت است اما کیفیت آماری کامل نیست.
TRENDING_BULL,NEUTRAL,MONITOR_ONLY,17,0.0,58.82,0.7824,2.815,0.0,29.6471,4.0696,-2.652,MIXED_POSITIVE,بازده مثبت است اما کیفیت آماری کامل نیست.
TRENDING_BEAR,NEUTRAL,MONITOR_ONLY,7,0.0,100.0,1.9942,13.9593,0.0,31.0,4.7071,-1.5059,MIXED_POSITIVE,بازده مثبت است اما کیفیت آماری کامل نیست.
TRENDING_BULL,LONG,NOT_ACTIONABLE,7,100.0,57.14,0.1993,1.4366,71.43,49.5714,3.4265,-2.9807,MIXED_POSITIVE,بازده مثبت است اما کیفیت آماری کامل نیست.
UNKNOWN,LONG,0,5,0.0,40.0,-0.4885,0.3351,0.0,60.0,1.7451,-1.9584,OBSERVE,Regime در لاگ‌های قدیمی ثبت نشده؛ برای تصمیم‌گیری نیاز به داده v4.7 به بعد است. | نیاز به داده بیشتر دارد.
UNKNOWN,SHORT,0,1,0.0,100.0,0.6924,0.6924,0.0,57.0,1.8374,-4.2555,LOW_SAMPLE,نمونه کمتر از 5 است؛ فقط برای رصد.
TRENDING_BULL,LONG,ACTIONABLE,1,100.0,100.0,0.4897,0.4897,100.0,70.0,4.9265,-2.0299,LOW_SAMPLE,نمونه کمتر از 5 است؛ فقط برای رصد.
SIDEWAYS,NEUTRAL,MONITOR_ONLY,1,0.0,0.0,-0.5747,0.0,0.0,35.0,2.3499,-3.6315,LOW_SAMPLE,نمونه کمتر از 5 است؛ فقط برای رصد.
TRENDING_BEAR,SHORT,NOT_ACTIONABLE,1,0.0,0.0,-2.8484,0.0,100.0,46.0,0.2327,-5.9597,LOW_SAMPLE,نمونه کمتر از 5 است؛ فقط برای رصد.
