source,run_id,decision_id,replay_experiment_id,replay_data_fingerprint,candle_timestamp,symbol,timeframe,provider,replay_split,replay_position,replay_total_positions,replay_safe,learning_overrides_enabled,historical_edge_enabled,historical_context_mode,side,score,confidence_label,risk_label,actionability,is_actionable,entry_price,entry_zone,stop_zone,targets,fee_bps_per_side,slippage_bps_per_side,regime_label,regime_confidence,long_score,short_score,trend_score,momentum_score,volume_score,structure_score,regime_score,risk_penalty,external_context_score,adaptive_adjustment,historical_edge_score,news_sentiment_score,onchain_signal_score,cross_exchange_volume_ratio,available_future_candles,evaluation_status,target_1_hit,target_2_hit,target_3_hit,stop_hit,first_exit_reason,first_exit_candle_offset,intrabar_ambiguity,mfe_pct,mae_pct,evaluated_candles,market_return_after_1c_pct,gross_signed_return_after_1c_pct,net_signed_return_after_1c_pct,direction_correct_after_1c,market_return_after_3c_pct,gross_signed_return_after_3c_pct,net_signed_return_after_3c_pct,direction_correct_after_3c,market_return_after_6c_pct,gross_signed_return_after_6c_pct,net_signed_return_after_6c_pct,direction_correct_after_6c,market_return_after_4h_pct,return_after_4h_pct,net_return_after_4h_pct,market_return_after_12h_pct,return_after_12h_pct,net_return_after_12h_pct,market_return_after_24h_pct,return_after_24h_pct,net_return_after_24h_pct
MARKET_REPLAY,market_replay_20260710_152233,eb1a575a1159fef8d5b0,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-02-29T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,214,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,12,Low,High,MONITOR_ONLY,False,62768.0,نامشخص,نامشخص,[],10.0,5.0,VOLATILE,75,12,0,28,11,5,0,-4,-21,0,-7,0,0.0,0.0,0.0,5172,COMPLETE,False,False,False,False,NO_EXIT,,False,0.179869,-3.81771,6,-1.873885,,,,-2.641633,,,,-2.392939,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,8b0c026b8a59d8bfcab7,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-01T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,215,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,18,Low,Low,MONITOR_ONLY,False,61266.0,نامشخص,نامشخص,[],10.0,5.0,VOLATILE,75,4,18,6,19,0,3,-4,-2,0,-4,0,0.0,0.0,0.0,5166,COMPLETE,False,False,False,False,NO_EXIT,,False,2.938171,-0.045702,6,1.536741,,,,1.709105,,,,0.825907,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,e46c10e429dbdd5ac9f7,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-02T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,216,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,24,Low,Low,MONITOR_ONLY,False,61772.0,نامشخص,نامشخص,[],10.0,5.0,UNKNOWN,25,15,24,6,17,2,3,0,-4,0,0,0,0.0,0.0,0.0,5160,COMPLETE,False,False,False,False,NO_EXIT,,False,1.178527,-0.730752,6,0.561581,,,,0.261931,,,,0.634754,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,6443fd5c042f096e1277,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-03T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,217,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,54,Low,Low,NOT_ACTIONABLE,False,62164.1,"61,928 - 62,306","61,032","[""63,108"", ""63,863"", ""64,618""]",10.0,5.0,TRENDING_BULL,62,54,0,28,20,4,0,5,0,0,-3,0,0.0,0.0,0.0,5154,COMPLETE,True,True,True,False,TARGET_1,2.0,False,7.107639,-0.121453,6,0.903576,0.903576,0.603576,True,2.081266,2.081266,1.781266,True,6.900124,6.900124,6.600124,True,0.903576,0.903576,0.603576,2.081266,2.081266,1.781266,6.900124,6.900124,6.600124
MARKET_REPLAY,market_replay_20260710_152233,fb8585a5b1cdf58e226d,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-04T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,218,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,60,Medium,Medium,WATCHLIST,False,66453.5,"66,177 - 66,620","65,125","[""67,561"", ""68,446"", ""69,332""]",10.0,5.0,TRENDING_BULL,62,60,0,28,24,9,4,5,-12,0,2,0,0.0,0.0,0.0,5148,COMPLETE,True,True,False,False,TARGET_1,2.0,False,3.832003,-1.993123,6,1.436192,1.436192,1.136192,True,2.498439,2.498439,2.198439,True,0.485302,0.485302,0.185302,True,1.436192,1.436192,1.136192,2.498439,2.498439,2.198439,0.485302,0.485302,0.185302
MARKET_REPLAY,market_replay_20260710_152233,5be25bfb94d8c4da39d1,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-05T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,219,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,65,Medium,Low,WATCHLIST,False,66776.0,"66,418 - 66,991","65,057","[""68,208"", ""69,354"", ""70,499""]",10.0,5.0,TRENDING_BULL,100,65,0,28,19,11,6,5,-4,0,0,0,0.0,0.0,0.0,5142,COMPLETE,False,False,False,True,STOP,1.0,False,1.301815,-11.644902,6,-8.065922,-8.065922,-8.365922,False,-5.249641,-5.249641,-5.549641,False,-0.448065,-0.448065,-0.748065,False,-8.065922,-8.065922,-8.365922,-5.249641,-5.249641,-5.549641,-0.448065,-0.448065,-0.748065
MARKET_REPLAY,market_replay_20260710_152233,20f56fc5f692d469203d,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-06T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,220,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,32,Low,Medium,MONITOR_ONLY,False,66476.8,نامشخص,نامشخص,[],10.0,5.0,VOLATILE,75,32,11,28,14,9,3,-4,-11,0,-7,0,0.0,0.0,0.0,5136,COMPLETE,False,False,False,False,NO_EXIT,,False,2.125704,-1.376119,6,0.390061,,,,-0.936868,,,,1.181314,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,af18fa70108ef622efb7,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-07T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,221,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,54,Low,Low,NOT_ACTIONABLE,False,67262.1,"66,825 - 67,525","65,163","[""69,011"", ""70,411"", ""71,811""]",10.0,5.0,TRENDING_BULL,62,54,0,28,19,5,3,5,-6,0,0,0,0.0,0.0,0.0,5130,COMPLETE,True,False,False,False,TARGET_1,6.0,False,3.982778,-0.743509,6,0.344919,0.344919,0.044919,True,-0.171419,-0.171419,-0.471419,False,0.532395,0.532395,0.232395,True,0.344919,0.344919,0.044919,-0.171419,-0.171419,-0.471419,0.532395,0.532395,0.232395
MARKET_REPLAY,market_replay_20260710_152233,df27100d02f8542515c8,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-08T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,222,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,61,Medium,Medium,WATCHLIST,False,67620.2,"67,234 - 67,852","65,768","[""69,163"", ""70,398"", ""71,633""]",10.0,5.0,TRENDING_BULL,100,61,4,28,14,11,8,5,-9,0,4,0,0.0,0.0,0.0,5124,COMPLETE,True,False,False,False,TARGET_1,2.0,False,2.57497,-2.230399,6,1.837321,1.837321,1.537321,True,0.92635,0.92635,0.62635,True,0.990532,0.990532,0.690532,True,1.837321,1.837321,1.537321,0.92635,0.92635,0.62635,0.990532,0.990532,0.690532
MARKET_REPLAY,market_replay_20260710_152233,62ea48d886844d76ccc0,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-09T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,223,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,35,Low,Medium,MONITOR_ONLY,False,68290.0,نامشخص,نامشخص,[],10.0,5.0,TRENDING_BULL,62,35,0,28,11,0,3,5,-9,0,-3,0,0.0,0.0,0.0,5118,COMPLETE,False,False,False,False,NO_EXIT,,False,2.313662,-0.423195,6,-0.139113,,,,1.24191,,,,1.329184,,,,,,,,,,,,
