run_id,generated_utc,version,status,symbol,timeframe,collect_live,primary_cause,cause_confidence,catalyst_score,event_risk,technical_event_conflict,causal_alignment,causal_verdict,source_count,successful_sources,trusted_successful_sources,manual_events_loaded,auto_events_loaded,evidence_strength,evidence_grade,causal_claim_status,independent_source_count,directional_agreement
causal_intel_20260711_201052,2026-07-11T20:10:55.666345+00:00,v7.0.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,47,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,20,17,16,2,11,,,,,
causal_intel_20260711_201127,2026-07-11T20:11:28.999482+00:00,v7.0.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,47,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,20,17,16,2,11,,,,,
causal_intel_20260711_223424,2026-07-11T22:34:26.633710+00:00,v7.2.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,45,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,18,15,14,0,11,0.6745,MEDIUM,PLAUSIBLE_HYPOTHESIS,7,0.8
causal_intel_20260711_223458,2026-07-11T22:35:00.212098+00:00,v7.2.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,45,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,18,15,14,0,11,0.6745,MEDIUM,PLAUSIBLE_HYPOTHESIS,7,0.8
causal_intel_20260712_075253,2026-07-12T07:52:55.352816+00:00,v7.2.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,41,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,18,15,14,0,11,0.6745,MEDIUM,PLAUSIBLE_HYPOTHESIS,7,0.8
causal_intel_20260712_075325,2026-07-12T07:53:27.260565+00:00,v7.2.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,41,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,18,15,14,0,11,0.6745,MEDIUM,PLAUSIBLE_HYPOTHESIS,7,0.8
causal_intel_20260712_114834,2026-07-12T11:48:36.673230+00:00,v7.2.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,11,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_WEAK_OR_RISKY,18,15,14,0,11,0.6745,MEDIUM,PLAUSIBLE_HYPOTHESIS,7,0.8
causal_intel_20260712_114906,2026-07-12T11:49:07.905011+00:00,v7.2.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,11,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_WEAK_OR_RISKY,18,15,14,0,11,0.6745,MEDIUM,PLAUSIBLE_HYPOTHESIS,7,0.8
causal_intel_20260712_154311,2026-07-12T15:43:13.936344+00:00,v7.2.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,25,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_WEAK_OR_RISKY,18,15,14,0,11,0.6745,MEDIUM,PLAUSIBLE_HYPOTHESIS,7,0.8
causal_intel_20260712_154341,2026-07-12T15:43:43.639292+00:00,v7.2.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,25,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_WEAK_OR_RISKY,18,15,14,0,11,0.6745,MEDIUM,PLAUSIBLE_HYPOTHESIS,7,0.8
