strategy,fold,start_utc,end_utc,sample_count,coverage,win_rate,expectancy,median_return,profit_factor,total_return,max_drawdown,average_win,average_loss,positive,no_overlap
EVENT_COST_GATED,1,2017-11-10T12:00:00+00:00,2020-07-25T20:00:00+00:00,226,0.27901234567901234,0.3805309734513274,1.0360998322507344,-2.5994888715768916,1.4180552810265792,234.15856208866597,-177.7391665332561,9.235725975628496,-4.00081337010989,True,True
EVENT_COST_GATED,2,2020-07-28T12:00:00+00:00,2022-11-20T20:00:00+00:00,184,0.2122260668973472,0.3804347826086957,1.4834161761319298,-3.5338324579664615,1.47852918556518,272.9485764082751,-137.93026662153216,12.047703330226758,-5.003426813224543,True,True
EVENT_COST_GATED,3,2022-11-28T12:00:00+00:00,2024-09-24T20:00:00+00:00,198,0.21615720524017468,0.37373737373737376,1.305796162612833,-3.0300352562121855,1.4943202326412435,258.5476401973409,-75.2330363569086,10.561951007219697,-4.218038180136425,True,True
EVENT_COST_GATED,4,2024-10-01T16:00:00+00:00,2026-07-04T12:00:00+00:00,201,0.2070030895983522,0.48258706467661694,5.0493405354584295,-0.963891,3.5121596805177777,1014.9174476271444,-104.68776533163545,14.62803518297146,-3.8846342800104527,True,True
EVENT_BREAKOUT_CONFIRMATION_COST_GATED,1,2017-11-10T12:00:00+00:00,2020-07-25T20:00:00+00:00,158,0.19506172839506172,0.3291139240506329,-1.2784507593595031,-2.6469483234792435,0.5055667527921999,-201.9952199788015,-247.17907315882192,3.971994042632886,-3.8541406622236942,False,True
EVENT_BREAKOUT_CONFIRMATION_COST_GATED,2,2020-07-28T12:00:00+00:00,2022-11-20T20:00:00+00:00,124,0.14302191464821223,0.3225806451612903,1.5792454858264104,-3.7401374021003866,1.4748471778641272,195.8264402424749,-139.70145270977184,15.205632791263707,-4.909510373905637,True,True
EVENT_BREAKOUT_CONFIRMATION_COST_GATED,3,2022-11-28T12:00:00+00:00,2024-09-24T20:00:00+00:00,132,0.14410480349344978,0.3560606060606061,1.044930596215916,-3.308103267393441,1.3981594865396214,137.9308387005009,-82.87910909050257,10.305359938215279,-4.075542098771968,True,True
EVENT_BREAKOUT_CONFIRMATION_COST_GATED,4,2024-10-01T16:00:00+00:00,2026-07-04T12:00:00+00:00,124,0.12770339855818744,0.4838709677419355,4.314404966231867,-1.174829,3.2372092540683295,534.9862158127514,-61.61424794247773,12.901954562949888,-3.736422780691276,True,True
EVENT_VOLATILITY_EXPANSION_COST_GATED,1,2017-11-10T12:00:00+00:00,2020-07-25T20:00:00+00:00,51,0.06296296296296296,0.47058823529411764,3.5852554380369885,-2.724510058265627,2.4737711328942877,182.84802733988641,-49.123714139010005,12.788173189521771,-4.595115896616151,True,True
EVENT_VOLATILITY_EXPANSION_COST_GATED,2,2020-07-28T12:00:00+00:00,2022-11-20T20:00:00+00:00,42,0.04844290657439446,0.5238095238095238,-0.8973969641774023,1.6239875271447257,0.6742794966933214,-37.6906724954509,-75.2633900122606,3.546549798797777,-5.7857384034501,False,True
EVENT_VOLATILITY_EXPANSION_COST_GATED,3,2022-11-28T12:00:00+00:00,2024-09-24T20:00:00+00:00,47,0.05131004366812227,0.3829787234042553,0.8243083442289526,-3.564622857663548,1.2630486219855364,38.74249217876077,-64.60462892024209,10.334728865229398,-5.078711289495459,True,True
EVENT_VOLATILITY_EXPANSION_COST_GATED,4,2024-10-01T16:00:00+00:00,2026-07-04T12:00:00+00:00,66,0.06797116374871266,0.48484848484848486,5.949549620737826,-0.9037855,3.657060254314475,392.6702749686965,-47.016684729827034,16.889187652347424,-4.346580291365322,True,True
EVENT_REGIME_TRANSITION_COST_GATED,1,2017-11-10T12:00:00+00:00,2020-07-25T20:00:00+00:00,17,0.020987654320987655,0.5882352941176471,14.90033851338712,1.849641963462406,10.208830407747826,253.30575472758102,-11.122676117251087,28.081258713861796,-3.9295474872910003,False,True
EVENT_REGIME_TRANSITION_COST_GATED,2,2020-07-28T12:00:00+00:00,2022-11-20T20:00:00+00:00,17,0.0196078431372549,0.4117647058823529,6.638529891669938,-2.2476890089937838,3.6694174648847206,112.85500815838894,-16.09919780341811,22.161717912701626,-4.227701723052246,False,True
EVENT_REGIME_TRANSITION_COST_GATED,3,2022-11-28T12:00:00+00:00,2024-09-24T20:00:00+00:00,19,0.02074235807860262,0.47368421052631576,4.3091741746357455,-1.233033814140449,3.7911986377361724,81.87430931807917,-16.622177859041514,12.35637087377892,-2.933302854593111,False,True
EVENT_REGIME_TRANSITION_COST_GATED,4,2024-10-01T16:00:00+00:00,2026-07-04T12:00:00+00:00,11,0.01132852729145211,0.45454545454545453,7.932814258699696,-0.203312,6.106809367447117,87.26095684569665,-11.825291037677616,20.869626819224216,-2.847862875070735,False,True
